ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
sun g	China:Hosp Eye, Wenzhou Med Coll, State Key Lab Cultivat Base, China Natl Optometry Ctr, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	ACTA OPHTHALMOLOGICA	Longterm results after phacovitrectomy and foldable intraocular lens implantation
sun guoling	China:Tianjin Med Univ Eye Ctr, Tianjin 300070,Peoples R China. Tianjin Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	DISPOSABLE SUTURELESS SILICONE CONTACT LENS RING FOR USE WITH A SELF-SEALING CANNULA SYSTEM DURING VITRECTOMY
sun guoying	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Dept Optometry, State Key Lab Ophthalmol,Dept Glaucoma, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Pharmacokinetics of pirfenidone after topical administration in rabbit eye
sun hanjun	China:Third Mil Med Univ, Xinqiao Hosp, Dept Ophthalmol, Chongqing 400038,Peoples R China. Third Military Medical University	MOLECULAR VISION	Combined effect of olfactory ensheathing cell (OEC) transplantation and glial cell line-derived neurotrophic factor (GDNF) intravitreal injection on optic nerve injury in rats
sun ke	China:Fudan Univ, Minist Educ, Dept Mol Genet, Shanghai Med Sch, Shanghai 200032,Peoples R China. Fudan University	CURRENT EYE RESEARCH	Microplasmin Degrades Fibronectin and Laminin at Vitreoretinal Interface and Outer Retina during Enzymatic Vitrectomy
sun lanping	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Prevalence and Associations of Epiretinal Membranes in a Rural Chinese Adult Population: The Handan Eye Study
sun min	China:Jinin Polytech Inst, Jinin, Shandong,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Increased intravitreous interleukin-18 correlated to vascular endothelial growth factor in patients with active proliferative diabetic retinopathy
sun peng	China:Kunming Aier Eye Hosp, Kunming, Yunnan,Peoples R China. 	MOLECULAR VISION	Mutation p.G83R in the transthyretin gene is associated with hereditary vitreous amyloidosis in Han Chinese families
sun qing	China:Harbin Med Univ, Clin Coll 1, Ophthalmol Hosp, Harbin 150001, Heilongjiang Pr,Peoples R China. Harbin Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Evaluation of crowded optic nerve head and small scleral canal in intrapapillary hemorrhage with adjacent peripapillary subretinal hemorrhage
sun shumao	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	BRITISH JOURNAL OF OPHTHALMOLOGY	Characterisation of systemic and ocular drug level of triamcinolone acetonide following a single sub-Tenon injection
sun shumao	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Different Intravitreal Properties of Three Triamcinolone Formulations and Their Possible Impact on Retina Practice
sun shumao	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	OPHTHALMOLOGY	Intraocular and Systemic Pharmacokinetics of Triamcinolone Acetonide after a Single 40-mg Posterior Subtenon Application
sun wen	China:Zhejiang Univ, Affiliated Hosp 1, Dept Ophthalmol, Coll Med, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Non-buckled vitrectomy for retinal detachment with inferior breaks and proliferative vitreoretinophathy
sun wentao	China:Xian 4 Hosp, Dept Ophthalmol, Xian 710004, Shaanxi Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Multiple methods of surgical treatment combined with primary IOL implantation on traumatic lens subluxation/dislocation in patients with secondary glaucoma
sun xiaodong	China:Shanghai Jiao Tong Univ, Affiliated Peoples Hosp 1, Dept Ophthalmol, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	OPHTHALMOLOGICA	Nerve growth factor helps protect retina in experimental retinal detachment
sun xiaodong	China:Shanghai Jiao Tong Univ, Affiliated Peoples Hosp 1, Dept Ophthalmol, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Inhibition of Pathologic Retinal Neovascularization by a Small Peptide Derived from Human Apolipoprotein(a)
sun xiaodong	China:Shanghai Jiao Tong Univ, Affiliated Peoples Hosp 1, Dept Ophthalmol, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	OPHTHALMOLOGY	Acute Intraocular Inflammation Caused by Endotoxin after Intravitreal Injection of Counterfeit Bevacizumab in Shanghai, China
sun xuejun	China:Second Mil Med Univ, Dept Diving Med, Shanghai 200433,Peoples R China. Second Military Medical University	EXPERIMENTAL EYE RESEARCH	Hydrogen-rich saline protects retina against glutamate-induced excitotoxic injury in guinea pig
sun yanxiu	China:Peking Univ, Hosp 3, Ctr Eye, Beijing 100191,Peoples R China. Peking University	OPHTHALMOLOGY	Endothelial Keratoplasty: The Use of Viscoelastic as an Aid in Reattaching the Dislocated Graft in Abnormally Structured Eyes
sun yaoyao	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effects of Semaphorin 3A on Retinal Pigment Epithelial Cell Activity
sun zhaohui	China:Zhejiang Univ, Affiliated Hosp 2, Ctr Eye, Coll Med, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	JAPANESE JOURNAL OF OPHTHALMOLOGY	Correlation of the recurrent FBN1 mutation (c.364C > T) with a unique phenotype in a Chinese patient with Marfan syndrome
sun zhaoyi	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	The changes of protein kinase C for human retinal pigment epithelium and retinal glial cells proliferation induced by the subretinal fluid
sun zhongcui	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Effect of preoperative retinal sensitivity and fixation on long-term prognosis for idiopathic macular holes
tan j	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EYE	A new strategy to replace the natural vitreous by a novel capsular artificial vitreous body with pressure-control valve
tan j	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EYE	Assessment of the innate and adaptive immune system in proliferative vitreoretinopathy
tan jia	China:Cent S Univ, Dept Ophthalmol, Xiangya Med Coll, Changsha, Hunan,Peoples R China. Central South University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	The correlation between the regulation of recombinant human IGF-2 on eye growth and form-deprivation in guinea pig
tan jia	China:Cent S Univ, Dept Ophthalmol, Xiangya Med Coll, Changsha, Hunan,Peoples R China. Central South University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Insulin-like growth factor-2 antisense oligonucleotides inhibits myopia by expression blocking of retinal insulin-like growth factor-2 in guinea pig
tang chaoshu	China:Peking Univ, Hlth Sci Ctr, Dept Physiol, Beijing 100871,Peoples R China. Peking University	CURRENT EYE RESEARCH	Changes in Adrenomedullin in Patients with Proliferative Diabetic Retinopathy
tang cuicui	China:Jinan Univ, Dept Ophthalmol, Affiliated Hosp 1, Guangzhou 510630, Guangdong,Peoples R China. Jinan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Endogenous aspergillus endophthalmitis after kidney transplantation
tang luosheng	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	OPHTHALMIC GENETICS	Vitreous amyloidosis in two large mainland Chinese kindreds resulting from transthyretin variant Lys35Thr and Leu55Arg
tang luosheng	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Protective effects of human umbilical cord blood stem cell intravitreal transplantation against optic nerve injury in rats
tang luosheng	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Efficacy and necessity of prophylactic vitrectomy for acute retinal necrosis syndrome
tang renhong	China:Cent S Univ, Xiangya Hosp 3, Dept Ophthalmol, Changsha 410013, Hunan,Peoples R China. Central South University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Insulin-like growth factor-2 antisense oligonucleotides inhibits myopia by expression blocking of retinal insulin-like growth factor-2 in guinea pig
tang shibo	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Outcomes of Vitrectomy for Progressive X-Linked Retinoschisis
tang xiajing	China:Zhejiang Univ, Ctr Eye, Affiliated Hosp 2, Sch Med, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	25-gauge vitrectomy and triamcinolone acetonide-assisted internal limiting membrane peeling for chronic cystoid macular edema associated with branch retinal vein occlusion
tang xin	China:Tianjin Med Univ, Clin Coll Ophthalmol, Tianjin Key Lab Ophthalmol & Vis Sci, Tianjin Eye Hosp, Tianjin,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Ophthalmic viscosurgical device-assisted sutureless-incision cataract surgery for a hard nucleus or mature cataract
tang zimei	China:Hosp PLA, Dept Ophthalmol, Huaihua City, Hunan,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Two-hook technique for nucleus extraction in manual sutureless extracapsular cataract extraction
tao aizhu	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou,Peoples R China. Wenzhou Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Whole Eye Axial Biometry During Accommodation Using Ultra-long Scan Depth Optical Coherence Tomography
tao qiushan	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Prevalence and Associations of Epiretinal Membranes in a Rural Chinese Adult Population: The Handan Eye Study
tao yong	China:Heidelberg Univ, Med Fac Mannheim, Dept Ophthalmol, Heidelberg, Germany. Ruprecht Karl University Heidelberg	ACTA OPHTHALMOLOGICA	Intraocular expression of thymosin beta 4 in proliferative diabetic retinopathy
tao yong	China:Heidelberg Univ, Med Fac Mannheim, Dept Ophthalmol, Heidelberg, Germany. Ruprecht Karl University Heidelberg	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Apelin in Plasma and Vitreous and in Fibrovascular Retinal Membranes of Patients with Proliferative Diabetic Retinopathy
tao yong	China:Peking Univ, Dept Ophthalmol, Peoples Hosp, Beijing 100044,Peoples R China. Peking University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	VITREOUS AND PLASMA CONCENTRATIONS OF APELIN AND VASCULAR ENDOTHELIAL GROWTH FACTOR AFTER INTRAVITREAL BEVACIZUMAB IN EYES WITH PROLIFERATIVE DIABETIC RETINOPATHY
tao yong	China:Peking Univ, Dept Ophthalmol, Peoples Hosp, Key Lab Vis Loss & Restorat,Minist Educ, Beijing 100044,Peoples R China. Peking University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Multiple intravitreal injections of ganciclovir for cytomegalovirus retinitis after stem-cell transplantation
tao yong	China:Peking Univ, Dept Ophthalmol, Peoples Hosp, Key Lab Vis Loss & Restorat,Minist Educ, Beijing 100044,Peoples R China. Peking University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Intraocular Expression of Serum Amyloid A and Interleukin-6 in Proliferative Diabetic Retinopathy
teng yan	China:Harbin Med Univ, Clin Coll 1, Ophthalmol Hosp, Harbin 150001, Heilongjiang Pr,Peoples R China. Harbin Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Evaluation of crowded optic nerve head and small scleral canal in intrapapillary hemorrhage with adjacent peripapillary subretinal hemorrhage
teng yufei	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Evaluation of crowded optic nerve head and small scleral canal in intrapapillary hemorrhage with adjacent peripapillary subretinal hemorrhage
tian chaowei	China:Fourth Mil Med Univ, Xijing Hosp, Dept Ophthalmol, Xian 710032, Shaanxi,Peoples R China. Fourth Military Medical University	CURRENT EYE RESEARCH	Increased levels of soluble syndecan-1 in the subretinal fluid and the vitreous of eyes with rhegmatogenous retinal detachment
tian lei	China:Fourth Mil Med Univ, Dept Oral & Maxillofacial Surg, Coll Stomatol, Xian 710032,Peoples R China. Fourth Military Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Mechanical force enhances MMP-2 activation via p38 signaling pathway in human retinal pigment epithelial cells
tian nong	China:Nanjing Univ, Jinling Hosp, Sch Med, Dept Ophthalmol, Jiangsu,Peoples R China. Nanjing University	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Thelazia callipaeda in human vitreous
tian rong	China:Beijing Union Med Coll Hosp, Peking Union Med Coll, Dept Ophthalmol, Beijing 100710,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	EXPERIMENTAL EYE RESEARCH	Transthyretin Ala36Pro mutation in a Chinese pedigree of familial transthyretin amyloidosis with elevated vitreous and serum vascular endothelial growth factor
tian xiaofeng	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Caveolin-1 expression regulates blood-retinal barrier permeability and retinal neovascularization in oxygen-induced retinopathy
tian xiaofeng	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	OPHTHALMOLOGICA	Netrin-1 Overexpression in Oxygen-Induced Retinopathy Correlates with Breakdown of the Blood-Retina Barrier and Retinal Neovascularization
to ch	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	EYE	A new strategy to replace the natural vitreous by a novel capsular artificial vitreous body with pressure-control valve
to ch	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Sex, Eye Size, and the Rate of Myopic Eye Growth Due to Form Deprivation in Outbred White Leghorn Chickens
to chiho	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Graded Competing Regional Myopic and Hyperopic Defocus Produce Summated Emmetropization Set Points in Chick
to chiho	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Heritability of Ocular Component Dimensions in Chickens: Genetic Variants Controlling Susceptibility to Experimentally Induced Myopia and Pretreatment Eye Size Are Distinct
tse dennisy	China:Hong Kong Polytech Univ, Sch Optometry, Ctr Myopia Res, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Graded Competing Regional Myopic and Hyperopic Defocus Produce Summated Emmetropization Set Points in Chick
wan chao	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of adenovirus -mediated brain derived neurotrophic factor in early retinal neuropathy of diabetes in rats
wan pengxia	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Comparison of clinical outcomes between iris-fixated anterior chamber intraocular lenses and scleral-fixated posterior chamber intraocular lenses in Marfan syndrome with lens subluxation
wang aiyuan	China:China Med Univ, Dept Ophthalmol, Shengjing Hosp, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of the dipeptide Arg-Gln on retinopathy of prematurity in mice
wang aiyuan	China:China Med Univ, Dept Ophthalmol, Shengjing Hosp, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Inhibition of retinal angiogenesis by PEDF
wang bingsong	China:Capital Med Univ, Beijing Shijitan Hosp, Dept Ophthalmol, Beijing 100038,Peoples R China. Capital Medical University	MOLECULAR VISION	Study of 27 aqueous humor cytokines in patients with type 2 diabetes with or without retinopathy
wang changguan	China:Peking Univ, Ctr Eye, Minist Educ, Key Lab Vis Loss & Restorat,Hosp 3, Beijing 100191,Peoples R China. Peking University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	RISK FACTORS, ANATOMICAL, AND VISUAL OUTCOMES OF INJURED EYES WITH PROLIFERATIVE VITREORETINOPATHY Eye Injury Vitrectomy Study
wang dabo	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Visual outcome following intraocular foreign bodies: a retrospective review of 5-year clinical experience
wang dan	China:Armed Police Gen Hosp, Dept Ophthalmol, Beijing,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPTOMETRY	Serum interferon-gamma/interleukin-4 imbalance in patients with Eales' disease
wang fang	China:Tongji Univ, Peoples Hosp 10, Dept Ophthalmol, Shanghai 200080,Peoples R China. Tongji University	OPHTHALMIC SURGERY LASERS & IMAGING	Combination of Internal Limiting Membrane Peeling and Endophotocoagulation for Retinal Detachment Related to High Myopia in Patients With Macular Hole
wang fang	China:Tongji Univ, Peoples Hosp 10, Dept Ophthalmol, Shanghai 200080,Peoples R China. Tongji University	EXPERIMENTAL EYE RESEARCH	Differentiating vitreous proteomes in proliferative diabetic retinopathy using high-performance liquid chromatography coupled to tandem mass spectrometry
wang fang	China:Tongji Univ, Peoples Hosp 10, Dept Ophthalmol, Shanghai 200080,Peoples R China. Tongji University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Kininogen 1 and insulin-like growth factor binding protein 6: candidate serum biomarkers of proliferative vitreoretinopathy
wang fei	China:Jiangsu Prov Hosp, Nanjing,Peoples R China. 	CURRENT EYE RESEARCH	Effects of 530 nm Green Light on Refractive Status, Melatonin, MT1 Receptor, and Melanopsin in the Guinea Pig
wang fei	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effects of Semaphorin 3A on Retinal Pigment Epithelial Cell Activity
wang fei	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Anti-angiogenic effect of KH902 on retinal neovascularization
wang fei	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	MOLECULAR VISION	Inhibition of pathological retinal neovascularization by semaphorin 3A
wang fenghua	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing,Peoples R China. Capital Medical University	BMC OPHTHALMOLOGY	Prevalence and risk factors of posterior vitreous detachment in a Chinese adult population: the Handan eye study
wang fenghua	China:Shanghai Jiao Tong Univ, Eye Res Inst, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	OPHTHALMOLOGICA	Nerve growth factor helps protect retina in experimental retinal detachment
wang fenghua	China:Shanghai Jiao Tong Univ, Eye Res Inst, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	OPHTHALMOLOGY	Acute Intraocular Inflammation Caused by Endotoxin after Intravitreal Injection of Counterfeit Bevacizumab in Shanghai, China
wang gl	China:Capital Med Univ, Beijing Tong Ren Hosp, Ophthalmol Ctr, Beijing 100730,Peoples R China. Capital Medical University	EYE	Vitreous surgery with direct central retinal artery massage for central retinal artery occlusion
wang gl	China:Capital Med Univ, Beijing Tong Ren Hosp, Ophthalmol Ctr, Beijing 100730,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Prevalence and Associations of Epiretinal Membranes in a Rural Chinese Adult Population: The Handan Eye Study
wang guibo	China:Third Mil Med Univ, Southwest Hosp, Dept Ophthalmol, Chongqing 400038,Peoples R China. Third Military Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Intravitreous Vascular Endothelial Growth Factor and Hypoxia-Inducible Factor 1a in Patients With Proliferative Diabetic Retinopathy
wang guimin	China:Shandong Univ Tradit Chinese Med, Affiliated Eye Hosp, Jinan,Peoples R China. 	OPTOMETRY AND VISION SCIENCE	Utility Values among Myopic Patients in Mainland China
wang haijun	China:Huazhong Univ Sci & Technol, Tongji Med Coll, Union Hosp, Dept Neurosurg, Wuhan 430022, Hubei Province,Peoples R China. Huazhong University of Science & Technology	MOLECULAR VISION	Pharmacokinetics and retinal toxicity of various doses of intravitreal triamcinolone acetonide in rabbits
wang haiyan	China:Xijing Hosp, Dept Ophthalmol, Xian,Peoples R China. Fourth Military Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Intraocular Safety and Pharmacokinetics of Hexadecyloxypropyl-Cidofovir (HDP-CDV) as a Long-lasting Intravitreal Antiviral Drug
wang hao	China:State Key Lab Med Genet, Changsha 410078, Hunan,Peoples R China. 	OPHTHALMIC GENETICS	Vitreous amyloidosis in two large mainland Chinese kindreds resulting from transthyretin variant Lys35Thr and Leu55Arg
wang hao	China:Tongji Univ, Sch Med, Shanghai Peoples Hosp 10, Dept Ophthalmol, Shanghai 200072,Peoples R China. Tongji University	EXPERIMENTAL EYE RESEARCH	Differentiating vitreous proteomes in proliferative diabetic retinopathy using high-performance liquid chromatography coupled to tandem mass spectrometry
wang huaizhou	China:Capital Med Univ, Beijing Ophthalmol Sch, Ophthalmol & Visual Sci Key Lab, Beijing Tongren Eye Ctr,Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	EFFICACY OF VITRECTOMY WITH TRIAMCINOLONE ASSISTANCE VERSUS INTERNAL LIMITING MEMBRANE PEELING FOR HIGHLY MYOPIC MACULAR HOLE RETINAL DETACHMENT
wang huaizhou	China:Capital Med Univ, Beijing Ophthalmol Sch, Ophthalmol & Visual Sci Key Lab, Beijing Tongren Eye Ctr,Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	EXPERIMENTAL EYE RESEARCH	Controlling the number of melanopsin-containing retinal ganglion cells by early light exposure
wang hui	China:Kunming Aier Eye Hosp, Kunming, Yunnan,Peoples R China. 	MOLECULAR VISION	Mutation p.G83R in the transthyretin gene is associated with hereditary vitreous amyloidosis in Han Chinese families
wang huiling	China:State Key Lab Med Genet, Changsha 410078, Hunan,Peoples R China. 	OPHTHALMIC GENETICS	Vitreous amyloidosis in two large mainland Chinese kindreds resulting from transthyretin variant Lys35Thr and Leu55Arg
wang j	China:Yangzhou Univ, Dept Ophthalmol, Sch Clin Med, Yangzhou 225001, Jiangsu,Peoples R China. Yangzhou University	EYE	Safety and efficacy of intravitreal injection of recombinant erythropoietin for protection of photoreceptor cells in a rat model of retinal detachment
wang j	China:Yangzhou Univ, Dept Ophthalmol, Sch Clin Med, Yangzhou 225001, Jiangsu,Peoples R China. Yangzhou University	CURRENT EYE RESEARCH	Intravitreal Injection of Soluble Erythropoietin Receptor Exacerbates Photoreceptor Cell Apoptosis in a Rat Model of Retinal Detachment
wang j	China:Yangzhou Univ, Dept Ophthalmol, Sch Clin Med, Yangzhou 225001, Jiangsu,Peoples R China. Yangzhou University	CURRENT EYE RESEARCH	Effects of Supplemental Erythropoietin on Its Receptor Expression and Signal Transduction Pathways in Rat Model of Retinal Detachment
wang jialin	China:Peking Univ, Hosp 3, Ctr Eye, Beijing 100191,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	EphA2 Targeted Doxorubicin Stealth Liposomes as a Therapy System for Choroidal Neovascularization in Rats
wang jiancheng	China:Peking Univ, Sch Pharmaceut Sci, State Key Lab Nat & Biomimet Drugs, Beijing 100191,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Lipid Nanoparticle System Improves siRNA Efficacy in RPE Cells and a Laser-Induced Murine CNV Model
wang jianhua	China:Univ Miami, Sch Med, Bascom Palmer Eye Inst, Miami, FL 33152 USA. University of Miami	VISION RESEARCH	Biometric measurement of the mouse eye using optical coherence tomography with focal plane advancement
wang jiantao	China:Tianjin Med Univ, Ctr Eye, Tianjin 300070,Peoples R China. Tianjin Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	The correlation between the regulation of recombinant human IGF-2 on eye growth and form-deprivation in guinea pig
wang jiayan	China:Peking Univ, Dept Ophthalmol, Peoples Hosp, Beijing 100044,Peoples R China. Peking University	ACTA OPHTHALMOLOGICA	Intraocular expression of thymosin beta 4 in proliferative diabetic retinopathy
wang jiayan	China:Peking Univ, Dept Ophthalmol, Peoples Hosp, Beijing 100044,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Apelin in Plasma and Vitreous and in Fibrovascular Retinal Membranes of Patients with Proliferative Diabetic Retinopathy
wang jiejin	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Prevalence and Associations of Epiretinal Membranes in a Rural Chinese Adult Population: The Handan Eye Study
