abdulhalim sancar	China:Wuhan Univ, Dept Ophthalmol, Zhongnan Hosp, Wuhan 430072, Hubei,Peoples R China. Wuhan University	PLOS ONE	Anti-VEGF Agents with or without Antimetabolites in Trabeculectomy for Glaucoma: A Meta-Analysis
liu ye	China:Fudan Univ, Huashan Hosp, Shanghai 200433,Peoples R China. Fudan University	EXPERIMENTAL EYE RESEARCH	Morphological and hydrodynamic correlates in monkey eyes with laser induced glaucoma
liu ye	China:Jilin Univ, Hosp 1, Dept Pathol, Changchun 130023,Peoples R China. Jilin University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effects of Y27632 on Aqueous Humor Outflow Facility With Changes in Hydrodynamic Pattern and Morphology in Human Eyes
liu yizhi	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Comparison of Lens Thickness Measurements Using the Anterior Segment Optical Coherence Tomography and A-scan Ultrasonography
liu yizhi	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Visual outcomes of cataract surgery performed by supervised novice surgeons during training in rural China
liu yizhi	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Long-term corneal endothelial cell changes in pediatric intraocular lens reposition and exchange cases
liu yuan	China:Hebei Med Univ, Hebei Key Lab Med Biotechnol, Dept Biochem, Shijiazhuang 050017, Hebei,Peoples R China. Hebei Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Regulation of iNOS Expression by NF-kappa B in Human Lens Epithelial Cells Treated With High Levels of Glucose
liu yunhai	China:Cent S Univ, Dept Neurol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Potential role of retina as a biomarker for progression of Parkinson's disease
liu yuwei	China:Jianghan Univ, Wuhan Inst Neurosci & Drug Res, Wuhan 430056, Hubei Province,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Bis (7)-tacrine protects retinal ganglion cells against excitotoxicity via NMDA receptor inhibition
liu zhaochuan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Effectiveness of a Short Message Reminder in Increasing Compliance with Pediatric Cataract Treatment A Randomized Trial
liu zhe	China:Zhejiang Prov Peoples Hosp, Ctr Eye, Hangzhou, Zhejiang,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Ultrasound biomicroscopy in pupillary block glaucoma secondary to ophthalmic viscosurgical device remnants in the posterior chamber after anterior chamber phakic intraocular lens implantation
liu zheli	China:China Med Univ, Dept Ophthalmol, Hosp 1, Shenyang 110001,Peoples R China. China Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Increased Nitric Oxide and Vascular Endothelial Growth Factor Levels in the Aqueous Humor of Patients with Coats' Disease
liu zhili	China:China Med Univ, Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Expression of Nogo-A on the retina in rat model with chronic ocular hypertension
liu zhili	China:China Med Univ, Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Clinical effect of improved viscocanalostomy for the treatment of primary congenital glaucoma
liu zhili	China:China Med Univ, Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	IOP-lowering effects for the application of human umbilical vein in non-penetrating deep sclerostomy in rabbits
liu zhiping	China:Chinese Acad Sci, Inst Biophys, State Key Lab Brain & Cognit Sci, Beijing 100101,Peoples R China. Chinese Academy of Sciences	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Long-Term Rescue of Rat Retinal Ganglion Cells and Visual Function by AAV-Mediated BDNF Expression after Acute Elevation of Intraocular Pressure
lo lo	China:Univ Hong Kong, Li Ka Shing Fac Med, Inst Eye, Pokfulam, Hong Kong,Peoples R China. University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Progressive Retinal Degeneration in Transgenic Mice with Overexpression of Endothelin-1 in Vascular Endothelial Cells
long chongde	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Traumat Dept, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PRELIMINARY EFFICACY AND SAFETY OF A SILICONE OIL-FILLED FOLDABLE CAPSULAR VITREOUS BODY IN THE TREATMENT OF SEVERE RETINAL DETACHMENT
long hua	China:Huazhong Univ Sci & Technol, Wuhan Natl Lab Optoelect, Wuhan 430074, Hubei Province,Peoples R China. Huazhong University of Science & Technology	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	External sclerostomy with the femtosecond laser versus a surgical knife in rabbits
long hua	China:Suizhou Cent Hosp, Dept Ophthalmol, Suizhou 441322, Hubei Province,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Expression of MMP-2 and MMP-9 in retinoblastoma and their significance
lou xin	China:Peoples Liberat Army Gen Hosp, Dept Radiol, Beijing,Peoples R China. 	PLOS ONE	Reliability of Three-Dimensional Pseudo-Continuous Arterial Spin Labeling MR Imaging for Measuring Visual Cortex Perfusion on Two 3T Scanners
lu cuixin	China:Univ Elect Sci & Technol China, Sch Life Sci & Technol, Chengdu 610054,Peoples R China. University of Electronic Science & Technology - China	PLOS ONE	Alteration of Fractional Anisotropy and Mean Diffusivity in Glaucoma: Novel Results of a Meta-Analysis of Diffusion Tensor Imaging Studies
lu d	China:Tianjin Med Univ, Ctr Eye, Tianjin 300070,Peoples R China. Tianjin Medical University	EYE	The application of human anterior lens capsule autotransplantation in phacotrabeculectomy: a prospective, comparative and randomized clinical study
lu d	China:Tianjin Med Univ, Ctr Eye, Tianjin 300070,Peoples R China. Tianjin Medical University	MOLECULAR VISION	The tear fluid mucin 5AC change of primary angle-closure glaucoma patients after short-term medications and phacotrabeculectomy
lu f	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	EYE	Association between corneal biomechanical properties and myopia in Chinese subjects
lu f	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Intraocular Pressure and Calculated Diastolic Ocular Perfusion Pressure during Three Simulated Steps of Phacoemulsification In Vivo
lu f	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Recovery of Corneal Hysteresis After Reduction of Intraocular Pressure in Chronic Primary Angle-Closure Glaucoma
lu f	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	BRITISH JOURNAL OF OPHTHALMOLOGY	Correlation between corneal biomechanical properties, applanation tonometry and direct intracameral tonometry
lu fang	China:Sichuan Acad Med Sci, Chengdu 617002, Sichuan,Peoples R China. 	MOLECULAR VISION	A genome-wide scan maps a novel autosomal dominant juvenile-onset open-angle glaucoma locus to 2p15-16
lu guocai	China:Second Mil Med Univ, Ctr New Drug Evaluat, Inst Basic Med Sci, Shanghai,Peoples R China. Second Military Medical University	PLOS ONE	Myocilin Polymorphisms and Primary Open-Angle Glaucoma: A Systematic Review and Meta-Analysis
lu guocai	China:Second Mil Med Univ, Ctr New Drug Evaluat, Inst Basic Med Sci, Shanghai,Peoples R China. Second Military Medical University	PLOS ONE	Intraocular Pressure-Lowering Effects of Commonly Used Fixed-Combination Drugs with Timolol: A Systematic Review and Meta-Analysis
lu h	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	EYE	The effects of glaucoma filtering surgery on anterior chamber-associated immune deviation and contribution of lymphatic drainage in rats
lu hong	China:Capital Med Univ, Beijing Chaoyang Hosp, Dept Ophthalmol, Beijing 100020,Peoples R China. Capital Medical University	OPTOMETRY AND VISION SCIENCE	Intravitreal Bevacizumab for Ocular Metastasis of Multiple Myeloma
lu hong	China:Capital Med Univ, Beijing Chaoyang Hosp, Dept Ophthalmol, Beijing 100020,Peoples R China. Capital Medical University	OPHTHALMIC EPIDEMIOLOGY	The epidemiology of age-related eye diseases in Mainland China
lu hong	China:Univ Tennessee, Hlth Sci Ctr, Dept Ophthalmol, Hamilton Eye Inst, Memphis, TN 38163 USA. University of Tennessee Health Science CenterUniversity of Tennessee System	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Genetic Dissection of the Gpnmb Network in the Eye
lu hong	China:Univ Tennessee, Hlth Sci Ctr, Dept Ophthalmol, Hamilton Eye Inst, Memphis, TN 38163 USA. University of Tennessee Health Science CenterUniversity of Tennessee System	MOLECULAR VISION	Complex interactions of Tyrp1 in the eye
lu huijuan	China:Fudan Univ, Sch Nursing, Shanghai 200433,Peoples R China. Fudan University	JOURNAL OF GLAUCOMA	Survey on Vision-related Quality of Life and Self-management Among Patients With Glaucoma
lu jianhua	China:Lanzhou Univ, Hosp 2, Dept Ophthalmol, Lanzhou 730030, Gansu,Peoples R China. Lanzhou University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	High myopia as a risk factor in primary open angle glaucoma
lu lu	China:Univ Tennessee, Hlth Sci Ctr, Dept Anat & Neurobiol, Memphis, TN 38163 USA. University of Tennessee Health Science CenterUniversity of Tennessee System	MOLECULAR VISION	Complex interactions of Tyrp1 in the eye
lu miaoling	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Comparison of Lens Thickness Measurements Using the Anterior Segment Optical Coherence Tomography and A-scan Ultrasonography
lu peixiang	China:Huazhong Univ Sci & Technol, Wuhan Natl Lab Optoelect, Wuhan 430074, Hubei Province,Peoples R China. Huazhong University of Science & Technology	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	External sclerostomy with the femtosecond laser versus a surgical knife in rabbits
lu peng	China:Lanzhou Univ, Hosp 2, Dept Ophthalmol, Lanzhou 730030, Gansu,Peoples R China. Lanzhou University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	High myopia as a risk factor in primary open angle glaucoma
lu qj	China:Capital Univ Med Sci, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing 100730,Peoples R China. Capital Medical University	EYE	The effects of glaucoma filtering surgery on anterior chamber-associated immune deviation and contribution of lymphatic drainage in rats
lu qj	China:Capital Univ Med Sci, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing 100730,Peoples R China. Capital Medical University	JOURNAL OF GLAUCOMA	Different Transillumination Property in Chinese and White Irides
lu qingjun	China:Chinese Acad Sci, Beijing,Peoples R China. Chinese Academy of Sciences	MOLECULAR VISION	Proteomic analysis of aqueous humor from patients with myopia
lu tailiang	China:Shandong Univ Tradit Chinese Med, Affiliated Hosp 2, Jinan, Shandong,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Intraocular Pressure and Associated Factors in Children: The Shandong Children Eye Study
lu weicong	China:Wenzhou Med Univ, Sch Optometry & Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	CORNEA	Comparison and Evaluation of Central Corneal Thickness Using 2 New Noncontact Specular Microscopes and Conventional Pachymetry Devices
lu wen	China:Capital Med Univ, Beijing Tiantan Hosp, Beijing 100050,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Parapapillary atrophy in patients with intracranial tumours
lu xiaohe	China:So Med Univ, Zhujiang Hosp, Dept Ophthalmol, Guangzhou 515282, Guangdong,Peoples R China. Southern Medical University - China	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Intraoperative Mitomycin C Versus Intraoperative 5-Fluorouracil for Trabeculectomy: A Systematic Review and Meta-Analysis
lu xuehui	China:Chinese Univ Hong Kong, Shantou Univ Med Coll, Shantou, Guangdong,Peoples R China. Chinese University of Hong Kong	AMERICAN JOURNAL OF OPHTHALMOLOGY	Diagnostic Classification of Retinal Nerve Fiber Layer Measurement in Myopic Eyes: A Comparison Between Time-Domain and Spectral-Domain Optical Coherence Tomography
lu xuejing	China:Chengdu Univ Tradit Chinese Med, Key Res Inst Visual Funct Protect TCM, Teaching Hosp, Chengdu 610075, Sichuan Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect on multifocal electroretinogram in persistently elevated intraocular pressure by erigeron breviscapus extract
lu yan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF GLAUCOMA	Histologic changes of the iris in the development of angle closure in Chinese eyes
lu yi	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Visual results and complications of primary intraocular lens implantation in infants aged 6 to 12 months
lu yunxia	China:Anhui Med Univ, Dept Biochem & Mol Biol, Hefei, Anhui,Peoples R China. Anhui Medical University	PLOS ONE	Hepatocyte Growth Factor Genetic Variations and Primary Angle-Closure Glaucoma in the Han Chinese Population
lu zhaozeng	China:Fudan Univ, Huashan Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effects of Y27632 on Aqueous Humor Outflow Facility With Changes in Hydrodynamic Pattern and Morphology in Human Eyes
lu zhaozeng	China:Fudan Univ, Huashan Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Reduction of the Available Area for Aqueous Humor Outflow and Increase in Meshwork Herniations into Collector Channels Following Acute IOP Elevation in Bovine Eyes
lu zhaozeng	China:Fudan Univ, Huashan Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Fudan University	EXPERIMENTAL EYE RESEARCH	The mechanism of increasing outflow facility by rho-kinase inhibition with Y-27632 in bovine eyes
lue hongbin	China:Sichuan Univ, Dept Ophthalmol, W China Hosp, Chengdu 610041, Sichuan Prov,Peoples R China. Sichuan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	A new method of duplication of the chronic intraocular hypertension model: underwater electrocoagulation
lue jianhua	China:Xingtai Ophthalm Hosp, Xingtai 054001, Hebei Province,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Neuroprotective effects of erigeron breviscapus (vant.) hand -mazz on glaucoma-A multi -center clinical trial
lue peng	China:Lanzhou Univ, Hosp 2, Dept Ophthalmol, Lanzhou 730000, Gansu,Peoples R China. Lanzhou University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Surgical treatment for primary angle closure - glaucoma: a Meta analysis
luk luk	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong Eye Hosp, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Photodynamic Therapy With or Without Intravitreal Triamcinolone Acetonide for Symptomatic Polypoidal Choroidal Vasculopathy
luk luk	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong Eye Hosp, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Assessing the effectiveness of medical treatment for glaucoma
luk luk	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong Eye Hosp, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PRESENCE OF CRYSTALLINE LENS AS A PROTECTIVE FACTOR FOR THE LATE DEVELOPMENT OF OPEN ANGLE GLAUCOMA AFTER VITRECTOMY
lung lung	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	DOCUMENTA OPHTHALMOLOGICA	Global flash multifocal electroretinogram: early detection of local functional changes and its correlations with optical coherence tomography and visual field tests in diabetic eyes
lung lung	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Effects of luminance combinations on the characteristics of the global flash multifocal electroretinogram (mfERG)
lung lung	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Early local functional changes in the human diabetic retina: a global flash multifocal electroretinogram study
lung lung	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	BRITISH JOURNAL OF OPHTHALMOLOGY	Effect of inner retinal dysfunction on slow double-stimulation multifocal electroretinogram
lung jennychunyee	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	BRITISH JOURNAL OF OPHTHALMOLOGY	Detection of early functional changes in diabetic retina using slow double-stimulation mfERG paradigm
lung jennychunyee	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Bilateral juvenile open angle glaucoma in two Chinese children: case report
luo dawei	China:Shanghai Jiao Tong Univ, Affiliated Peoples Hosp 1, Div Ophthalmol, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	CURRENT EYE RESEARCH	Expression Profiling in Glaucomatous Human Lamina Cribrosa Cells Based on Graph-clustering Approach
luo jia	China:Cent S Univ, Sch Basic Med Sci, Dept Anat & Neurobiol, Changsha 410013, Hunan,Peoples R China. Central South University	EXPERIMENTAL EYE RESEARCH	Distribution of thrombospondins and their neuronal receptor alpha 2 beta 1 in the rat retina
luo jing	China:Cent S Univ, Dept Ophthalmol, Xiang Ya Hosp 2, Changsha, Hunan,Peoples R China. Central South University	PLOS ONE	Evaluation of an Injectable Thermosensitive Hydrogel As Drug Delivery Implant for Ocular Glaucoma Surgery
luo lixia	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF GLAUCOMA	Evaluation of Secondary Glaucoma Associated With Subluxated Lens Misdiagnosed as Acute Primary Angle-closure Glaucoma
luo lixia	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Effectiveness of a Short Message Reminder in Increasing Compliance with Pediatric Cataract Treatment A Randomized Trial
luo lixia	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	PLOS ONE	Ocular Hypertension after Pediatric Cataract Surgery: Baseline Characteristics and First-Year Report
luo qingli	China:Sichuan Univ, Dept Ophthalmol, W China Hosp, Chengdu 610041, Sichuan Prov,Peoples R China. Sichuan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	A new method of duplication of the chronic intraocular hypertension model: underwater electrocoagulation
luo rongjiang	China:Sun Yat Sen Univ, Affiliated Hosp 1, Dept Ophthalmol, Guangzhou 510080, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Anti-proliferation effects of Sirolimus sustained delivery film in rabbit glaucoma filtration surgery
luo rongjiang	China:Sun Yat Sen Univ, Affiliated Hosp 1, Dept Ophthalmol, Guangzhou 510080, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Down-regulation of GRP78 in human glaucomatous trabecular meshwork cells
luo sang	China:Gen Hosp Tibet Mil Command, Dept Ophthalmol, Lhasa 850007, Tibet Autonomou,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Prevalence and risk factors for eye diseases, blindness, and low vision in Lhasa, Tibet
luo xiaohong	China:Shantou Univ, Joint Shantou Int Eye Ctr, Shantou,Peoples R China. Shantou University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Quantitative Analysis of Retinal Layer Optical Intensities on Three-Dimensional Optical Coherence Tomography
luo xuegang	China:Cent S Univ, Dept Anat & Neurobiol, Xiangya Sch Med, Changsha 410013, Hunan,Peoples R China. Central South University	CURRENT EYE RESEARCH	Differential Changes of Local Blood Supply in Rat Retinae Are Involved in the Selective Loss of Retinal Ganglion Cells Following the Acute High Intraocular Pressure
luo yahong	China:Liaoning Canc Hosp & Inst, Dept Med Image, Shenyang 110042,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Measurement of retinal nerve fiber layer thickness in optic atrophy eyes of patients with optic neuritis using optical coherence tomography
luo yan	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Outcomes of Vitrectomy for Progressive X-Linked Retinoschisis
luo yi	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Visual results and complications of primary intraocular lens implantation in infants aged 6 to 12 months
lv bingjie	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Harbin 150001, Heilongjiang Pr,Peoples R China. Harbin Medical University	ACTA OPHTHALMOLOGICA	SPARC modulates expression of extracellular matrix genes in human trabecular meshwork cells
lv jiahua	China:Fudan Univ, Dept Ophthalmol, Eye & Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	CORNEA	In Vivo Laser Scanning Confocal Microscopy of the Cornea in Patients With Silicone Oil Tamponade After Vitreoretinal Surgery
lv yanyun	China:Capital Med Univ, Beijing Tongren Hosp, Tongren Eye Care Ctr, Beijing,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Parapapillary Beta Zone in Primary School Children in Beijing: Associations With Outdoor Activity
lv yingjuan	China:Tianjin Med Univ, Hosp Eye, Glaucoma Dept, Tianjin 300384,Peoples R China. Tianjin Medical University	BMC OPHTHALMOLOGY	Diode laser transscleral cyclophotocoagulation followed by phacotrabeculectomy on medically unresponsive acute primary angle closure eyes: the long-term result
ma bin	China:Lanzhou Univ, Sch Basic Med Sci, Evidence Based Med Ctr, Lanzhou 730000, Gansu,Peoples R China. Lanzhou University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Surgical treatment for primary angle closure - glaucoma: a Meta analysis
ma fafeng	China:Chongqing Univ Med Sci, Affiliated Hosp 2, Dept Ophthalmol, Chongqing,Peoples R China. Chongqing Medical University	PLOS ONE	Association between Polymorphisms in Lysyl Oxidase-Like 1 and Susceptibility to Pseudoexfoliation Syndrome and Pseudoexfoliation Glaucoma
ma fei	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Progress in understanding the association between high myopia and primary open-angle glaucoma
ma haiyan	China:Harbin Med Univ, Dept Ophthalmol, Affiliated Hosp 1, Harbin 150001, Heilongjiang Pr,Peoples R China. Harbin Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Comparison of posterior capsule opacification in rabbit eyes receiving different administrations of rapamycin
ma jia	China:Kunming Med Coll, Affiliated Hosp 1, Dept Ophthalmol, Kunming,Peoples R China. Kunming Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Neuroprotective Effects of C-Type Natriuretic Peptide on Rat Retinal Ganglion Cells
ma jia	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041,Peoples R China. Sichuan University	MOLECULAR VISION	Evaluation of monkey intraocular pressure by rebound tonometer
ma jian	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Upregulation of Low-Density Lipoprotein Receptor After Exposure to Transforming Growth Factor-beta(2) in Tenon's Capsule Fibroblasts from Patients with Glaucoma
ma jian	China:Zhejiang Univ, Sch Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	CURRENT EYE RESEARCH	CSM Enhances the Filtration Bleb Survival in Rabbit Model of Experimental Glaucoma Surgery
ma jin	China:Chinese Acad Med Sci, Peking Union Med Coll Hosp, Dept Ophthalmol, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	JOURNAL OF GLAUCOMA	Axenfeld-Rieger Syndrome in Monozygotic Twins
ma jinlan	China:Shandong Univ, Qilu Hosp, Dept Hlth Care, Jinan 250100,Peoples R China. Shandong University	PLOS ONE	Color Doppler Imaging Analysis of Retrobulbar Blood Flow Velocities in Primary Open-Angle Glaucomatous Eyes: A Meta-Analysis
ma k	China:Capital Univ Med Sci, Dept Ophthalmol, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing 100005,Peoples R China. Capital Medical University	EYE	Dosage dependence of the effect of Ginkgo biloba on the rat retinal ganglion cell survival after optic nerve crush
ma k	China:Capital Univ Med Sci, Dept Ophthalmol, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	The effect of ginkgo biloba on the rat retinal ganglion cell survival in the optic nerve crush model
ma k	China:Capital Univ Med Sci, Dept Ophthalmol, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Cerebrospinal Fluid Pressure in Glaucoma A Prospective Study
ma k	China:Capital Univ Med Sci, Dept Ophthalmol, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Neuroprotective effect of intravitreal cell-based glucagon-like peptide-1 production in the optic nerve crush model
