adan alfredo	China:Chinese Univ Hong Kong, Dept Ophthalmol, Hong Kong Sanat & Hosp, Happy Valley, Hong Kong,Peoples R China. Chinese University of Hong Kong	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Visual Outcomes of Intravitreal Bevacizumab in Inflammatory Ocular Neovascularization
liu xiaoxing	China:Nanjing Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	PLOS ONE	Novel and Recurrent MYO7A Mutations in Usher Syndrome Type 1 and Type 2
liu xiaoyi	China:Nanjing Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	MOLECULAR VISION	Complement factor H Val62Ile variant and risk of age-related macular degeneration: A meta-analysis
liu xiaoyi	China:Nanjing Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	OPHTHALMOLOGICA	Genetic Association with Response to Intravitreal Ranibizumab for Neovascular Age-Related Macular Degeneration in the Han Chinese Population
liu xiaoyi	China:Nanjing Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	CURRENT EYE RESEARCH	Pharmacokinetics of HM-3 After Intravitreal Administration in Mice
liu xiaoyi	China:Nanjing Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Osteopontin expression in vitreous and proliferative retinal membranes of patients with proliferative vitreous retinopathy
liu xiaoyun	China:Nanjing Med Univ, Affiliated Hosp 1, Dept Endocrinol, Nanjing, Jiangsu,Peoples R China. Nanjing Medical University	PLOS ONE	PAI-1-675 4G/5G Polymorphism in Association with Diabetes and Diabetic Complications Susceptibility: a Meta-Analysis Study
liu xin	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	BRITISH JOURNAL OF OPHTHALMOLOGY	Risk factors for postoperative complications in lensectomy-vitrectomy with or without intraocular lens placement in ectopia lentis associated with Marfan syndrome
liu xin	China:Second Mil Med Univ, Changhai Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Combined lens and vitreoretinal surgery in patients with traumatic cataract and intraocular foreign body
liu xin	China:Second Mil Med Univ, Changhai Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Second Military Medical University	MOLECULAR VISION	Vascular endothelial growth factor upregulates expression of annexin A2 in vitro and in a mouse model of ischemic retinopathy
liu xing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	MACULAR THICKNESS MEASUREMENTS IN NORMAL EYES WITH TIME-DOMAIN AND FOURIER-DOMAIN OPTICAL COHERENCE TOMOGRAPHY
liu xing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Flood lamp-induced photic maculopathy in a fashion model
liu xing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Damage patterns of retinal nerve fiber layer in acute and chronic intraocular pressure elevation in primary angle closure glaucoma
liu xing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Comparison of full-thickness traumatic macular holes and idiopathic macular holes by optical coherence tomography
liu xing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Anticipation, anti-glaucoma drug treatment response and phenotype of a Chinese family with glaucoma caused by the Pro370Leu myocilin mutation
liu xing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Characteristics of the macula in amblyopic eyes by optical coherence tomography
liu xing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF GLAUCOMA	Macular and Retinal Nerve Fiber Layer Thickness Measurements in Normal Eyes With the Stratus OCT, the Cirrus HD-OCT, and the Topcon 3D OCT-1000
liu xing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMIC SURGERY LASERS & IMAGING	Image Quality Affects Macular and Retinal Nerve Fiber Layer Thickness Measurements on Fourier-Domain Optical Coherence Tomography
liu xing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	CLASSIFICATION OF FULL-THICKNESS TRAUMATIC MACULAR HOLES BY OPTICAL COHERENCE TOMOGRAPHY
liu xing	China:Wenzhou Med Univ, Sch Optometry & Ophthalmol, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	The Role of cGMP in Ocular Growth and the Development of Form-Deprivation Myopia in Guinea Pigs
liu xinjian	China:Shanghai Jiao Tong Univ, Peoples Hosp 1, Expt Ctr, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	EXPERIMENTAL EYE RESEARCH	Oncolytic adenovirus delivering herpes simplex virus thymidine kinase suicide gene reduces the growth of human retinoblastoma in an in vivo mouse model
liu xinjian	China:Shanghai Jiao Tong Univ, Peoples Hosp 1, Expt Ctr, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	CURRENT EYE RESEARCH	Distinctive gene transduction efficiencies of commonly used viral vectors in the retina
liu xinjian	China:Shanghai Jiao Tong Univ, Peoples Hosp 1, Expt Ctr, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	VISION RESEARCH	Enhanced transduction and improved photoreceptor survival of retinal degeneration by the combinatorial use of rAAV2 with a lower dose of adenovirus
liu xinjian	China:Shanghai Jiao Tong Univ, Peoples Hosp 1, Expt Ctr, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Enhancement of rAAV2-Mediated Transgene Expression in Retina Cells In Vitro and In Vivo by Coadministration of Low-Dose Chemotherapeutic Drugs
liu xipu	China:Beijing Sekwa Eye Hosp, Beijing,Peoples R China. 	MOLECULAR VISION	Association of CFH, LOC387715, and HTRA1 polymorphisms with exudative age-related macular degeneration in a northern Chinese population
liu xipu	China:Beijing Sekwa Eye Hosp, Beijing,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Measurement of Macular Pigment Optical Density in a Healthy Chinese Population Sample
liu xipu	China:Beijing Sekwa Eye Hosp, Beijing,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Noncoding Variant in the Complement Factor H Gene and Risk of Exudative Age-Related Macular Degeneration in a Chinese Population
liu xipu	China:Beijing Sekwa Eye Hosp, Beijing,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Serum Carotenoids and Risk of Age-Related Macular Degeneration in a Chinese Population Sample
liu xipu	China:Beijing Sekwa Eye Hosp, Beijing,Peoples R China. 	MOLECULAR VISION	Apolipoprotein E gene and age-related macular degeneration in a Chinese population
liu xipu	China:Beijing Sekwa Eye Hosp, Beijing,Peoples R China. 	MOLECULAR VISION	Candidate gene association study for diabetic retinopathy in Chinese patients with type 2 diabetes
liu xipu	China:Tsinghua Univ, Dept Ophthalmol, Hosp 1, Beijing 100084,Peoples R China. Tsing Hua University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	ASSOCIATION OF GLUTATHIONE S-TRANSFERASE PI ISOFORM SINGLE-NUCLEOTIDE POLYMORPHISMS WITH EXUDATIVE AGE-RELATED MACULAR DEGENERATION IN A CHINESE POPULATION
liu xipu	China:Tsinghua Univ, Dept Ophthalmol, Hosp 1, Beijing 100084,Peoples R China. Tsing Hua University	OPHTHALMIC EPIDEMIOLOGY	Strategies of Digital Fundus Photography for Screening Diabetic Retinopathy in a Diabetic Population in Urban China
liu xuesong	China:Sichuan Univ, Dept Neurosurg, W China Hosp, Chengdu 610041, Sichuan Provinc,Peoples R China. Sichuan University	MOLECULAR VISION	Retinal whole genome microarray analysis and early morphological changes in the optic nerves of monkeys after an intraorbital nerve irradiated injury
liu xuezheng	China:Liaoning Med Univ, Dept Human Anat, Jinzhou 121001, Liaoning,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Protective effects of curcumin on retinal Muller cell in early diabetic rats
liu xuyang	China:Jinan Univ, Shenzhen Eye Hosp, Shenzhen Key Lab Ophthalmol, Shenzhen 518040,Peoples R China. Jinan University	EXPERIMENTAL EYE RESEARCH	Neuroprotective effects of C3 exoenzyme in excitotoxic retinopathy
liu xuyang	China:Sichuan Univ, Dept Ophthalmol, W China Hosp, Chengdu 610041, Sichuan Provinc,Peoples R China. Sichuan University	MOLECULAR VISION	Retinal whole genome microarray analysis and early morphological changes in the optic nerves of monkeys after an intraorbital nerve irradiated injury
liu xuyang	China:Sichuan Univ, Dept Ophthalmol, W China Hosp, Chengdu 610041, Sichuan Provinc,Peoples R China. Sichuan University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Non-Mitogenic Human Acidic Fibroblast Growth Factor Reduces Retinal Degeneration Induced by Sodium Iodate
liu xuyang	China:Univ Wisconsin, Dept Ophthalmol & Visual Sci, Madison, WI 53705 USA. University of Wisconsin MadisonUniversity of Wisconsin System	SURVEY OF OPHTHALMOLOGY	Gene Therapy Targeting Glaucoma: Where Are We?
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EYE	Assessment of the innate and adaptive immune system in proliferative vitreoretinopathy
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EYE	Evaluation of supporting role of a foldable capsular vitreous body with magnetic resonance imaging in the treatment of severe retinal detachment in human eyes
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	DOCUMENTA OPHTHALMOLOGICA	Transitions of multifocal electroretinography following combined intravitreal bevacizumab and photodynamic therapy for polypoidal choroidal vasculopathy
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Functional changes following combined intravitreal bevacizumab and photodynamic therapy for polypoidal choroidal vasculopathy
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Early changes of retinal function in diabetic patients detected by multifocal electroretinogram
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PRELIMINARY EFFICACY AND SAFETY OF A SILICONE OIL-FILLED FOLDABLE CAPSULAR VITREOUS BODY IN THE TREATMENT OF SEVERE RETINAL DETACHMENT
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Biocompatibility and retinal support of a foldable capsular vitreous body injected with saline or silicone oil implanted in rabbit eyes
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Refractive Shifts in Four Selected Artificial Vitreous Substitutes Based on Gullstrand-Emsley and Liou-Brennan Schematic Eyes
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Preliminary Study to Treat Severe Endophthalmitis via a Foldable Capsular Vitreous Body with Sustained Levofloxacin Release in Rabbits
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	PLOS ONE	Comprehensive Analysis of Inflammatory Immune Mediators of the Intraocular Fluid Aspirated from the Foldable Capsular Vitreous Body Filled-Eyes
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Evaluation of 5-fluorouracil released from a foldable capsular vitreous body in vitro and in vivo
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Sustained Mechanical Release of Dexamethasone Sodium Phosphate from a Foldable Capsular Vitreous Body
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Ocular pathogenesis and immune reaction after intravitreal dispase injection in mice
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	PKC alpha affects cell cycle progression and proliferation in human RPE cells through the downregulation of p27(kip1)
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Evaluation of the Flexibility, Efficacy, and Safety of a Foldable Capsular Vitreous Body in the Treatment of Severe Retinal Detachment
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Characterization and retinal neuron differentiation of WERI-Rb1 cancer stem cells
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Generation of induced pluripotent stem cells from human Tenon's capsule fibroblasts
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Molecular analysis of the choroideremia gene related clinical findings in two families with choroideremia
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Neuronal-Driven Angiogenesis: Role of NGF in Retinal Neovascularization in an Oxygen-Induced Retinopathy Model
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Cytotoxic effect of HIV-1 gp120 on primary cultured human retinal capillary endothelial cells
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Visual outcomes of cataract surgery performed by supervised novice surgeons during training in rural China
liu yan	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	DOCUMENTA OPHTHALMOLOGICA	Transitions of multifocal electroretinography in patients with age-related macular degeneration after combination therapy with photodynamic therapy and intravitreal bevacizumab
liu yan	China:Shanghai 8th Peoples Hosp, Dept Ophthalmol, Shanghai,Peoples R China. 	OCULAR IMMUNOLOGY AND INFLAMMATION	Ocular Findings in a Patient with Virus-associated Hemophagocytic Syndrome
liu yang	China:Peking Univ, Hosp 1, Dept Neurol, Beijing 100871,Peoples R China. Peking University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Retinal vascular signs and cerebrovascular disease - a response
liu yang	China:Peking Univ, Hosp 1, Dept Neurol, Beijing 100871,Peoples R China. Peking University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Retinal arterial abnormalities correlate with brain white matter lesions in cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy
liu yang	China:Wenzhou Med Coll, Hosp Eye, Wen Zhou, Zhejiang,Peoples R China. Wenzhou Medical University	CURRENT EYE RESEARCH	Bypassing Occluded Retinal Main Vessel Segments in Isolated Arterially Perfused Caprine Eyes
liu yangchen	China:Tianjin Med Univ, Tianjin Eye Hosp & Eye Inst, Ophthalmol & Visual Sci Key Lab, Tianjin 300020,Peoples R China. Tianjin Medical University	JOURNAL OF REFRACTIVE SURGERY	Intraocular Straylight After Thin-Flap LASIK With a Femtosecond Laser Versus a Mechanical Microkeratome
liu yani	China:Ningxia Eye Hosp, Peoples Hosp Ningxia Hui Autonomous Reg, Yinchuan 750011, Ningxia Hui,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Identification of a novel p.R1443W mutation in RP1 gene associated with retinitis pigmentosa sine pigmento
liu yani	China:Ningxia Eye Hosp, Peoples Hosp Ningxia Hui Autonomous Reg, Yinchuan 750011, Ningxia Hui,Peoples R China. 	PLOS ONE	Novel and Recurrent MYO7A Mutations in Usher Syndrome Type 1 and Type 2
liu yani	China:Ningxia Eye Hosp, Peoples Hosp Ningxia Hui Autonomous Reg, Yinchuan 750011, Ningxia Hui,Peoples R China. 	PLOS ONE	Targeted Next-Generation Sequencing Reveals Novel USH2A Mutations Associated with Diverse Disease Phenotypes: Implications for Clinical and Molecular Diagnosis
liu yani	China:Ningxia Eye Hosp, Peoples Hosp Ningxia Hui Autonomous Reg, Yinchuan 750011, Ningxia Hui,Peoples R China. 	OPHTHALMIC GENETICS	Association of Specific Genetic Polymorphisms with Age-related Macular Degeneration in a Northern Chinese Population
liu yanqiang	China:Nankai Univ, Coll Life Sci, Dept Zool & Dev Biol, Tianjin 300071,Peoples R China. Nankai University	VISUAL NEUROSCIENCE	Classification of potassium and chlorine ionic currents in retinal ganglion cell line (RGC-5) by whole-cell patch clamp
liu ye	China:China Med Univ, Affiliated Hosp 4, Dept Ophthalmol, Shenyang,Peoples R China. China Medical University	CURRENT EYE RESEARCH	Deleterious Role of Anti-high Mobility Group Box 1 Monoclonal Antibody in Retinal Ischemia-reperfusion Injury
liu ye	China:China Med Univ, Hosp Eye, Affiliated Hosp 4, Key Lens Res Lab Liaoning Prov,Dept Ophthalmol, Shenyang 110005,Peoples R China. China Medical University	EXPERIMENTAL EYE RESEARCH	Activation of the aldosterone/mineralocorticoid receptor system and protective effects of mineralocorticoid receptor antagonism in retinal ischemia-reperfusion injury
liu yi	China:Sichuan Univ, Dept Ophthalmol, W China Hosp, Chengdu 610041,Peoples R China. Sichuan University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	CLINICAL PRESENTATIONS AND THERAPEUTIC EFFECT OF PRESUMED CHOROIDAL TUBERCULOSIS
liu yi	China:Sichuan Univ, Dept Ophthalmol, W China Hosp, Chengdu 610041,Peoples R China. Sichuan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Statistical virtual eye model based on wavefront aberration
liu ying	China:Capital Med Univ, Dept Pharmacol, Sch Basic Med Sci, Beijing 100730,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PHARMACOKINETIC COMPARISON OF KETOROLAC AFTER INTRACAMERAL, INTRAVITREAL, AND SUPRACHOROIDAL ADMINISTRATION IN RABBITS
liu ying	China:Huazhong Univ Sci & Technol, Ctr Human Genome Res, Coll Life Sci & Technol, Key Lab Mol Biophys,Minist Educ, Wuhan 430074,Peoples R China. Huazhong University of Science & Technology	MOLECULAR VISION	Novel compound heterozygous mutations in MYO7A in a Chinese family with Usher syndrome type 1
liu yinping	China:So Med Univ, Zhujiang Hosp, Dept Ophthalmol, Guangzhou 510282, Guangdong,Peoples R China. Southern Medical University - China	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Proteomic analysis of human serum from diabetic retinopathy
liu yiting	China:China Med Univ, Affiliated Hosp 1, Dept Clin Epidemiol, Shenyang 110001, Liaoning Provin,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Optical coherence tomography assessed retinal nerve fiber layer thickness in patients with Alzheimer's disease: a meta-analysis
liu yong	China:Third Mil Med Univ, Southwest Hosp, SW Eye Hosp, Chongqing 400038,Peoples R China. Third Military Medical University	CURRENT EYE RESEARCH	Rescue from Light-Induced Retinal Degeneration by Human Fetal Retinal Transplantation in Minipigs
liu yong	China:Third Mil Med Univ, Southwest Hosp, SW Eye Hosp, Chongqing 400038,Peoples R China. Third Military Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	The characterization of functional disturbances in Chinese patients with Bietti's crystalline dystrophy at different fundus stages
liu yong	China:Third Mil Med Univ, Southwest Hosp, SW Eye Hosp, Chongqing 400038,Peoples R China. Third Military Medical University	OPHTHALMIC RESEARCH	Transient Pupillary Light Reflex in Relation to Fundus Autofluorescence and Dark-Adapted Perimetry in Typical Retinitis Pigmentosa
liu yong	China:Third Mil Med Univ, Southwest Hosp, SW Eye Hosp, Chongqing 400038,Peoples R China. Third Military Medical University	MOLECULAR VISION	IGF-1 protects retinal ganglion cells from hypoxia-induced apoptosis by activating the Erk-1/2 and Akt pathways
liu yong	China:Third Mil Med Univ, Southwest Hosp, SW Eye Hosp, Chongqing 400038,Peoples R China. Third Military Medical University	MOLECULAR VISION	Combined effect of olfactory ensheathing cell (OEC) transplantation and glial cell line-derived neurotrophic factor (GDNF) intravitreal injection on optic nerve injury in rats
liu yongji	China:Nankai Univ, Inst Modern Opt, Key Lab Optoelect Informat Sci & Technol MOE, Tianjin 300071,Peoples R China. Nankai University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Refractive Shifts in Four Selected Artificial Vitreous Substitutes Based on Gullstrand-Emsley and Liou-Brennan Schematic Eyes
liu yu	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing Eye Inst,Dept Ophthalmol, Chongqing,Peoples R China. Chongqing Medical University	MOLECULAR VISION	Expression of adiponectin and its receptors in type 1 diabetes mellitus in human and mouse retinas
liu yuling	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100191,Peoples R China. Peking University	JAPANESE JOURNAL OF OPHTHALMOLOGY	Unilateral hemi-central retinal vein obstruction associated with retinal racemose angioma
liu yuling	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100191,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Autologous Transplantation of Retinal Pigment Epithelium-Bruch's Membrane Complex for Hemorrhagic Age-Related Macular Degeneration
liu yuling	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100191,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Photoreceptors Repair by Autologous Transplantation of Retinal Pigment Epithelium and Partial-Thickness Choroid Graft in Rabbits
liu yuling	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100191,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Combination of Targeted PDT and Anti-VEGF Therapy for Rat CNV by RGD-Modified Liposomal Photocyanine and Sorafenib
liu yuling	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100191,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	EphA2 Targeted Doxorubicin Stealth Liposomes as a Therapy System for Choroidal Neovascularization in Rats
liu yuling	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100191,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Lipid Nanoparticle System Improves siRNA Efficacy in RPE Cells and a Laser-Induced Murine CNV Model
liu yuan	China:Nanjing Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Nanjing, Jiangsu,Peoples R China. Nanjing Medical University	PLOS ONE	Diabetes Mellitus and Risk of Age-Related Macular Degeneration: A Systematic Review and Meta-Analysis
liu yuan	China:Nanjing Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Nanjing, Jiangsu,Peoples R China. Nanjing Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Targeted Sequencing of 179 Genes Associated with Hereditary Retinal Dystrophies and 10 Candidate Genes Identifies Novel and Known Mutations in Patients with Various Retinal Diseases
liu yumin	China:Shanghai Jiao Tong Univ, Instrumental Anal Ctr, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	OPHTHALMOLOGICA	Effects of generated trans-arachidonic acids on retinal capillary during nitrative stress in diabetic rats
liu yun	China:Hunan Normal Univ, Coll Life Sci, Key Lab Prot Chem & Dev Biol, Natl Educ Minist China, Changsha, Hunan,Peoples R China. Hunan Normal University	MOLECULAR VISION	Differential expression of the catalytic subunits for PP-1 and PP-2A and the regulatory subunits for PP-2A in mouse eye
liu yun	China:Second Mil Med Univ, Fac Naval Med, Dept Diving Med, Shanghai 200433,Peoples R China. Second Military Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Protective Effects of Hydrogen Saline on Diabetic Retinopathy in a Streptozotocin-Induced Diabetic Rat Model
liu yunhai	China:Cent S Univ, Dept Neurol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Potential role of retina as a biomarker for progression of Parkinson's disease
liu yuwei	China:Jianghan Univ, Wuhan Inst Neurosci & Drug Res, Wuhan 430056, Hubei Province,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Bis (7)-tacrine protects retinal ganglion cells against excitotoxicity via NMDA receptor inhibition
liu z	China:Xiamen Univ, Inst Eye, Xiamen,Peoples R China. Xiamen University	EYE	Plasma and vitreous fluid levels of Dickkopf-1 in patients with diabetic retinopathy
