ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
wang fang	China:Tongji Univ, Sch Med, Dept Ophthalmol, Shanghai Peoples Hosp 10, Shanghai 200072,Peoples R China. Tongji University	JAMA OPHTHALMOLOGY	Pressure-Induced Stromal Keratopathy as a Result of Ocular Trauma After Laser In Situ Keratomileusis
wang guiqin	China:Naval Gen Hosp, Dept Ophthalmol, Beijing 100048,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	F -heparin modified intraocular lenses in Rhesus monkeys
wang haijing	China:Harbin Med Univ, Affiliated Hosp 1, Harbin,Peoples R China. Harbin Medical University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Prevalence and causes of corneal blindness
wang hongxue	China:Badaojiang Dist Hosp Baishan City, Dept Ophthalmol, Baishan 134300, Jilin Province,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of amniotic membrane transplantation on rabbit conjunctival surface reconstruction at the recovering stage of alkali burn
wang jind	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Prevalence and incidence of ocular trauma in North China: the Beijing Eye Study
wang jing	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	SUPRACHOROIDAL HEMORRHAGE DURING PARS PLANA VITRECTOMY IN TRAUMATIZED EYES
wang jiwei	China:Peoples Hosp Zhengzhou, Dept Radiol, Zhengzhou 450003, Henan Province,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Data analysis of low dose multislice helical CT scan in orbital trauma
wang liqiang	China:Peoples Liberat Army, Gen Hosp, Dept Ophthalmol, Sch Med, Beijing,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	A Simple Alternative Method for Extracting Multiple Intraocular Foreign Bodies
wang liya	China:Henan Eye Inst, Henan Key Lab Keratopathy, Zhengzhou 450003,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Spectrum of fungal keratitis in central China
wang ningli	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	JAPANESE JOURNAL OF OPHTHALMOLOGY	Glass fragment in the anterior chamber caused corneal endothelial dysfunction eight years after penetrating trauma
wang qun	China:Peoples Liberat Army, Gen Hosp, Dept Ophthalmol, Sch Med, Beijing,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	A Simple Alternative Method for Extracting Multiple Intraocular Foreign Bodies
wang rui	China:Third Mil Med Univ, Affiliated SW Hosp, Dept Ophthalmol, Chongqing 400038,Peoples R China. Third Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Endotamponades in pars plana vitrectomy for metallic intraocular foreign body associated with endophthalmitis
wang t	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Major shifts in corneal transplantation procedures in north China: 5316 eyes over 12 years
wang t	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Partial lamellar keratoplasty for peripheral corneal disease using a graft from the glycerin-preserved corneoscleral rim
wang t	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Ring-shaped corneoscleral lamellar keratoplasty guided by high-definition optical coherence tomography and Scheimpflug imaging for severe Terrien's marginal corneal degeneration
wang t	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Combined penetrating keratoplasty and keratolimbal allograft transplantation in comparison with corneoscleral transplantation in the treatment of severe eye burns
wang t	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Clinical Features of Immune Rejection After Corneoscleral Transplantation
wang tiebin	China:Hosp Mingshui Cty, Suihua,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Prevalence and causes of corneal blindness
wang wentao	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	An In Vivo Confocal Microscopy and Impression Cytology Analysis of Goblet Cells in Patients with Chemical Burns
wang xin	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Vision-Related Quality of Life in Patients with Ocular Chemical Burns
wang xingli	China:Third Mil Med Univ, Affiliated SW Hosp, Dept Ophthalmol, Chongqing 400038,Peoples R China. Third Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Endotamponades in pars plana vitrectomy for metallic intraocular foreign body associated with endophthalmitis
wang xiuxian	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Eye Hosp, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Partial lamellar keratoplasty for peripheral corneal disease using a graft from the glycerin-preserved corneoscleral rim
wang yax	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Prevalence and incidence of ocular trauma in North China: the Beijing Eye Study
wang yi	China:Third Mil Med Univ, Affiliated SW Hosp, Dept Ophthalmol, Chongqing 400038,Peoples R China. Third Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Endotamponades in pars plana vitrectomy for metallic intraocular foreign body associated with endophthalmitis
wang yiqiang	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	alpha A-crystallin in the pathogenesis and intervention of experimental murine corneal neovascularization
wang yiqiang	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Comparison of genome-wide gene expression in suture- and alkali burn-induced murine corneal neovascularization
wang yiqiang	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	S100A proteins in the pathogenesis of experimental corneal neovascularization
wang yiqiang	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Selection of housekeeping genes for use in quantitative reverse transcription PCR assays on the murine cornea
wang yujuan	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	ARCHIVES OF OPHTHALMOLOGY	Limbal Allografting From Living-Related Donors to Treat Partial Limbal Deficiency Secondary to Ocular Chemical Burns
wang yunxiao	China:Qingdao Univ, Affiliated Hosp, Coll Med, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Causes and treatments of traumatic secondary glaucoma
wang yunxiao	China:Qingdao Univ, Affiliated Hosp, Coll Med, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Visual outcome following intraocular foreign bodies: a retrospective review of 5-year clinical experience
wang zhijun	China:Gen Hosp PLA, Dept Ophthalmol, Beijing 100853,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	An Alternative Method of Extraction: Use of a Catheter to Remove Intraocular Foreign Bodies During Vitrectomy
wang zhichong	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	EXPERIMENTAL EYE RESEARCH	Toll-like receptors mediate induction of peptidoglycan recognition proteins in human corneal epithelial cells
wang zhijun	China:Chinese Peoples Liberat Army Gen Hosp, Beijing,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	CASE-CONTROL STUDY OF RISK FACTORS FOR NO LIGHT PERCEPTION AFTER OPEN-GLOBE INJURY Eye Injury Vitrectomy Study
wang zhijun	China:Chinese Peoples Liberat Army Gen Hosp, Beijing,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	RISK FACTORS, ANATOMICAL, AND VISUAL OUTCOMES OF INJURED EYES WITH PROLIFERATIVE VITREORETINOPATHY Eye Injury Vitrectomy Study
wong david	China:Royal Liverpool Univ Hosp, St Pauls Eye Dept, Vitreoretinal Serv, Liverpool, Merseyside, England. Royal Liverpool University HospitalUniversity of Liverpool	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	OUTCOMES OF DELAYED VITRECTOMY IN OPEN-GLOBE INJURIES IN YOUNG PATIENTS
wu jinhui	China:Second Mil Med Univ, Changhai Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Combined lens and vitreoretinal surgery in patients with traumatic cataract and intraocular foreign body
wu kaili	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	PLOS ONE	How Often Are Major Blood-Borne Pathogens Found in Eye Patients? A Serosurvey at an Eye Hospital in Southern China
wu min	China:Third Mil Med Univ, Daping Hosp, Dept Ophthalmol, Chongqing 400042,Peoples R China. Third Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Hospitalized eye injury in a Chinese population: a 7-year retrospective analysis
wu nan	China:Third Mil Med Univ, Affiliated SW Hosp, Dept Ophthalmol, Chongqing 400038,Peoples R China. Third Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Endotamponades in pars plana vitrectomy for metallic intraocular foreign body associated with endophthalmitis
wu qunying	China:Xingtai Eye Hosp, Xingtai,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Endoscopic transorbital approach for repair of cerebrospinal fluid leakage following removal of an orbito-cranial foreign body
wu wencan	China:Wenzhou Med Coll, Hosp Eye, Wenzhou,Peoples R China. Wenzhou Medical University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Endoscopic transorbital approach for repair of cerebrospinal fluid leakage following removal of an orbito-cranial foreign body
xi haijie	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Comparison of genome-wide gene expression in suture- and alkali burn-induced murine corneal neovascularization
xi haijie	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Selection of housekeeping genes for use in quantitative reverse transcription PCR assays on the murine cornea
xiao xuan	China:Shandong Eye Inst, State Key Lab Cultivat Base, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	EUROPEAN JOURNAL OF OPHTHALMOLOGY	The influencing factors and characteristics of corneal graft endothelial decompensation after penetrating keratoplasty
xiao ying	China:Tongji Univ, Sch Med, Dept Ophthalmol, Shanghai Peoples Hosp 10, Shanghai 200072,Peoples R China. Tongji University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Measurement of the Limbus-Insertion Distance in Adult Strabismus Patients with Anterior Segment Optical Coherence Tomography
xie hanping	China:Third Mil Med Univ, Affiliated Hosp 1, Chongqing,Peoples R China. Third Military Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	A Comparison of Cyclosporine 0.05% Ophthalmic Emulsion Versus Vehicle in Chinese Patients with Moderate to Severe Dry Eye Disease: An Eight-Week, Multicenter, Randomized, Double-Blind, Parallel-Group Trial
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Major shifts in corneal transplantation procedures in north China: 5316 eyes over 12 years
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Combined penetrating keratoplasty and keratolimbal allograft transplantation in comparison with corneoscleral transplantation in the treatment of severe eye burns
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Primary diseases of corneal perforation in Shandong Province, China: A 10-year retrospective study
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Clinical Features of Immune Rejection After Corneoscleral Transplantation
xie l	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	EUROPEAN JOURNAL OF OPHTHALMOLOGY	The influencing factors and characteristics of corneal graft endothelial decompensation after penetrating keratoplasty
xie lixin	China:Shandong Eye Inst, Qingdao 266071, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Pediatric traumatic cataract and surgery outcomes in eastern China: a hospital-based study
xing yiqiao	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
xing yiqiao	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	SUPRACHOROIDAL HEMORRHAGE DURING PARS PLANA VITRECTOMY IN TRAUMATIZED EYES
xu chaochao	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	BMC OPHTHALMOLOGY	Causative organisms of post-traumatic endophthalmitis: a 20-year retrospective study
xu chong	China:Tongji Univ, Sch Med, Shanghai Peoples Hosp 10, Dept Ophthalmol, Shanghai 200072,Peoples R China. Tongji University	JAMA OPHTHALMOLOGY	Pressure-Induced Stromal Keratopathy as a Result of Ocular Trauma After Laser In Situ Keratomileusis
xu fan	China:Peoples Hosp Guangxi Zhuang Autonomous Reg, Dept Ophthalmol, Nanning 530021, Guangxi,Peoples R China. 	CORNEA	A Novel Technique of Sutureless and Glueless Conjunctival Autografting in Pterygium Surgery by Electrocautery Pen
xu jianjiang	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Vision-Related Quality of Life in Patients with Ocular Chemical Burns
xu jianjiang	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	An In Vivo Confocal Microscopy and Impression Cytology Analysis of Goblet Cells in Patients with Chemical Burns
xu jintang	China:Jinan Univ, Affiliated Hosp 1, Dept Ophthalmol, Guangzhou 510632, Guangdong,Peoples R China. Jinan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Implantation of Iakymenko keratoprosthesis in patients with severe ocular injury
xu jun	China:China Med Univ, Affiliated Hosp 4, Dept Ophthalmol, Shenyang 110005, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of amniotic membrane transplantation on rabbit conjunctival surface reconstruction at the recovering stage of alkali burn
xu liang	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Prevalence and incidence of ocular trauma in North China: the Beijing Eye Study
xu s	China:Jilin Univ, Hosp 2, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	EYE	Determination of visual prognosis in children with open globe injuries
xu xl	China:Capital Univ Med Sci, Beijing TongRen Hosp, Beijing TongRen Eye Ctr, Beijing Inst Ophthalmol, Beijing,Peoples R China. Capital Medical University	EYE	Review of 1375 enucleations in the TongRen Eye Centre, Beijing
xu xiuli	China:Fourth Mil Med Univ, Xijing Hosp, Dept Laborator, Xian 710033, Shaanxi Provinc,Peoples R China. Fourth Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Pathogen characteristics and its sensitivity against antimicrobial agents in fatal bacterial granuloma after eyelid trauma in vitro
xu ya	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	SUPRACHOROIDAL HEMORRHAGE DURING PARS PLANA VITRECTOMY IN TRAUMATIZED EYES
xu yanchan	China:China Med Univ, Dept Ophthalmol, Affiliated Hosp 1, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of amniotic membrane transplantation on rabbit conjunctival surface reconstruction at the recovering stage of alkali burn
xu yanshan	China:Naval Gen Hosp, Dept Ophthalmol, Beijing 100048,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	F -heparin modified intraocular lenses in Rhesus monkeys
xu yingchun	China:Chinese Acad Med Sci, Dept Clin Microbiol, Peking Union Med Coll Hosp, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OPTOMETRY AND VISION SCIENCE	Mycobacterium massiliense Keratitis
xu yinghai	China:Tianjin Med Univ, Gen Hosp, Dept Ophthalmol, Tianjin 300052,Peoples R China. Tianjin Medical University	CURRENT EYE RESEARCH	Reasons for and Management of Postvitrectomy Vitreous Hemorrhage in Proliferative Diabetic Retinopathy
xu yingnan	China:Shandong Eye Inst, Qingdao 266071, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Pediatric traumatic cataract and surgery outcomes in eastern China: a hospital-based study
xu yu	China:Second Mil Med Univ, Changhai Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Combined lens and vitreoretinal surgery in patients with traumatic cataract and intraocular foreign body
xu yuanyuan	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Amniotic membrane traps and induces apoptosis of inflammatory cells in ocular surface chemical burn
yan feng	China:Nanjing Univ, Sch Med, Jinling Hosp, Dept Ophthalmol, Nanjing 210002, Jiangsu,Peoples R China. Nanjing University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Allogeneic corneoscleral limbus tissue transplantation for treatment of the necrosis in porphyria eye disease
yan hua	China:Tianjin Med Univ, Gen Hosp, Dept Ophthalmol, Tianjin 300052,Peoples R China. Tianjin Medical University	CURRENT EYE RESEARCH	Reasons for and Management of Postvitrectomy Vitreous Hemorrhage in Proliferative Diabetic Retinopathy
yan song	China:Erdos City Cent Hosp, Dept Ophthalmol, Erdos City, Inner Mongolia,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	An Alternative Method of Extraction: Use of a Catheter to Remove Intraocular Foreign Bodies During Vitrectomy
yan yumei	China:Peoples Hosp Guangxi Zhuang Autonomous Reg, Dept Ophthalmol, Nanning 530021, Guangxi,Peoples R China. 	CORNEA	A Novel Technique of Sutureless and Glueless Conjunctival Autografting in Pterygium Surgery by Electrocautery Pen
yang anhuai	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
yang anhuai	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	SUPRACHOROIDAL HEMORRHAGE DURING PARS PLANA VITRECTOMY IN TRAUMATIZED EYES
yang lingling	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Selection of housekeeping genes for use in quantitative reverse transcription PCR assays on the murine cornea
yang shanshan	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Vitrectomy combined with silicone oil tamponade in the treatment of severely traumatized eyes with the visual acuity of no light perception
yang yanning	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
yao ke	China:Zhejiang Univ, Ctr Eye, Affiliated Hosp 2, Sch Med, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	ARCHIVES OF OPHTHALMOLOGY	Transocular Removal of a Retrobulbar Foreign Body and Internal Patch of the Posterior Exit Wound With Autologous Tenon Capsule
yao lin	China:Qingdao Univ, Affiliated Hosp, Coll Med, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Causes and treatments of traumatic secondary glaucoma
yao lin	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Visual outcome following intraocular foreign bodies: a retrospective review of 5-year clinical experience
yao yi	China:Gen Hosp PLA, Dept Ophthalmol, Beijing 100853,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	An Alternative Method of Extraction: Use of a Catheter to Remove Intraocular Foreign Bodies During Vitrectomy
yao yi	China:Peoples Liberat Army, Gen Hosp, Dept Ophthalmol, Sch Med, Beijing,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	A Simple Alternative Method for Extracting Multiple Intraocular Foreign Bodies
ye jian	China:Third Mil Med Univ, Daping Hosp, Dept Ophthalmol, Chongqing 400042,Peoples R China. Third Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Hospitalized eye injury in a Chinese population: a 7-year retrospective analysis
ye xinhai	China:Tongji Univ, Sch Med, Dept Ophthalmol, Shanghai Peoples Hosp 10, Shanghai 200072,Peoples R China. Tongji University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Measurement of the Limbus-Insertion Distance in Adult Strabismus Patients with Anterior Segment Optical Coherence Tomography
yin jie	China:Nanjing Univ, Sch Med, Jinling Hosp, Dept Ophthalmol, Nanjing 210002, Jiangsu,Peoples R China. Nanjing University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Allogeneic corneoscleral limbus tissue transplantation for treatment of the necrosis in porphyria eye disease
ying xi	China:Third Mil Med Univ, Affiliated SW Hosp, Dept Ophthalmol, Chongqing 400038,Peoples R China. Third Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Endotamponades in pars plana vitrectomy for metallic intraocular foreign body associated with endophthalmitis
you qis	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Prevalence and incidence of ocular trauma in North China: the Beijing Eye Study
yu jinguo	China:Tianjin Med Univ, Gen Hosp, Dept Ophthalmol, Tianjin 300052,Peoples R China. Tianjin Medical University	CURRENT EYE RESEARCH	Reasons for and Management of Postvitrectomy Vitreous Hemorrhage in Proliferative Diabetic Retinopathy
yuan jiaqin	China:Naval Gen Hosp, Dept Ophthalmol, Beijing 100048,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	F -heparin modified intraocular lenses in Rhesus monkeys
yuan jing	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
yuan zhaohui	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	BMC OPHTHALMOLOGY	Causative organisms of post-traumatic endophthalmitis: a 20-year retrospective study
yue juan	China:Henan Eye Inst, Henan Key Lab Keratopathy, Zhengzhou 450003,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Spectrum of fungal keratitis in central China
zang xinjie	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Amniotic membrane traps and induces apoptosis of inflammatory cells in ocular surface chemical burn
zhai hualei	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Amniotic membrane traps and induces apoptosis of inflammatory cells in ocular surface chemical burn
zhai hualei	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Primary diseases of corneal perforation in Shandong Province, China: A 10-year retrospective study
zhang feng	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	S100A proteins in the pathogenesis of experimental corneal neovascularization
zhang feng	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Selection of housekeeping genes for use in quantitative reverse transcription PCR assays on the murine cornea
zhang hong	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	ARCHIVES OF OPHTHALMOLOGY	Limbal Allografting From Living-Related Donors to Treat Partial Limbal Deficiency Secondary to Ocular Chemical Burns
zhang hongbo	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Selection of housekeeping genes for use in quantitative reverse transcription PCR assays on the murine cornea
