ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
ren qiushi	China:Peking Univ, Coll Engn, Dept Biomed Engn, Beijing 100871,Peoples R China. Peking University	JOURNAL OF REFRACTIVE SURGERY	Biomechanical and Refractive Behaviors of Keratoconic Cornea Based on Three-Dimensional Anisotropic Hyperelastic Models
ren qiushi	China:Peking Univ, Coll Engn, Dept Biomed Engn, Beijing 100871,Peoples R China. Peking University	JOURNAL OF REFRACTIVE SURGERY	Corneal Hysteresis With Intraocular Pressure of a Wide Range: A Test on Porcine Eyes
ren qiushi	China:Peking Univ, Coll Engn, Dept Biomed Engn, Beijing 100871,Peoples R China. Peking University	EXPERIMENTAL EYE RESEARCH	Corneal nerve morphology and sensitivity changes after ultraviolet A/riboflavin treatment
ren qiushi	China:Shanghai Jiao Tong Univ, Coll Life Sci & Technol,Dept Biomed Engn, Inst Laser Med & Biophoton, Lab Ophthalmol & Visual Opt, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	MOLECULAR VISION	Macular corneal dystrophy in a Chinese family related with novel mutations of CHST6
ren qiushi	China:Shanghai Jiao Tong Univ, Coll Life Sci & Technol,Dept Biomed Engn, Inst Laser Med & Biophoton, Lab Ophthalmol & Visual Opt, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	JOURNAL OF REFRACTIVE SURGERY	Synergistic Effects of Ultraviolet A/Riboflavin and Glucose on Corneal Collagen Cross-linking
ren qiushi	China:Shanghai Jiao Tong Univ, Coll Life Sci & Technol,Dept Biomed Engn, Inst Laser Med & Biophoton, Lab Ophthalmol & Visual Opt, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	CURRENT EYE RESEARCH	Noninvasive Imaging and Measurement of Accommodation Using Dual-Channel SD-OCT
ren ruojin	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100730,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Cerebrospinal fluid pressure in ocular hypertension
ren ruojin	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100730,Peoples R China. Capital Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Central corneal thickness, lamina cribrosa and peripapillary scleral histomorphometry in non-glaucomatous chinese eyes
ren shengwei	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	Differential response of lens crystallins and corneal crystallins in degenerative corneas
ren shengwei	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	alpha A-crystallin in the pathogenesis and intervention of experimental murine corneal neovascularization
ren shengwei	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Comparison of genome-wide gene expression in suture- and alkali burn-induced murine corneal neovascularization
ren shengwei	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Physiological expression of lens alpha-, beta-, and gamma-crystallins in murine and human corneas
ren shengwei	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Selection of housekeeping genes for use in quantitative reverse transcription PCR assays on the murine cornea
ren shongwei	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Serum amyloid A and pairing formyl peptide receptor 2 are expressed in corneas and involved in inflammation-mediated neovascularization
ren t	China:Nanjing Med Univ, Peoples Hosp, Dept Ophthalmol, Wuxi,Peoples R China. Nanjing Medical University	EYE	Analysis of Th17-associated cytokines in tears of patients with dry eye syndrome
ren xinjun	China:Tianjin Med Univ, Inst Eye, Ctr Eye, Tianjin,Peoples R China. Tianjin Medical University	EXPERIMENTAL EYE RESEARCH	Immunomodulatory effects of mesenchymal stem cells in a rat corneal allograft rejection model
ren yueping	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	CORNEA	Securing the Anterior Chamber in Penetrating Keratoplasty: An Innovative Surgical Technique
ren yueping	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	EXPERIMENTAL EYE RESEARCH	Reactive oxygen species activated NLRP3 inflammasomes prime environment-induced murine dry eye
rong chengting	China:Yantai Univ, Inst Reprod & Dev Biol, Coll Life Sci, Yantai, Shandong,Peoples R China. Yantai University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Topical Administration of Peroxiredoxin-6 on the Cornea Suppresses Inflammation and Neovascularization Induced by Ultraviolet Radiation
rong weining	China:Ningxia Peoples Hosp, Ningxia Eye Hosp, Yinchuan 750011, Ningxia Hui Aut,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Prevalence and associated factors of corneal blindness in Ningxia in northwest China
rong xianfang	China:Fudan Univ, Key Lab Myopia, Eye & ENT Hosp, Shanghai Med Coll,State Hlth Minist, Shanghai 200031,Peoples R China. Fudan University	EXPERIMENTAL EYE RESEARCH	Neuroprotective effect of transcorneal electrical stimulation on ischemic damage in the rat retina
ru haixia	China:Air Force Gen Hosp PLA, Dept Ophthalmol, Beijing 100142,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Using Laser Sight Astrapro Planner 2.2 Z software in corneal topography-guided laser in situ keratomileusis for myopia with asymmetric corneal shape
savini giacomo	China:Wenzhou Med Univ, Minist Hlth PR China, Key Lab Vis Sci, Sch Optometry & Ophthalmol, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Influence of intraocular lens haptic design on refractive error
savini giacomo	China:Wenzhou Med Univ, Minist Hlth PR China, Key Lab Vis Sci, Sch Optometry & Ophthalmol, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	BRITISH JOURNAL OF OPHTHALMOLOGY	Evaluation of a new optical biometry device for measurements of ocular components and its comparison with IOLMaster
savini giacomo	China:Wenzhou Med Univ, Minist Hlth PR China, Key Lab Vis Sci, Sch Optometry & Ophthalmol, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Corneal ray tracing versus simulated keratometry for estimating corneal power changes after excimer laser surgery
sha xiangyin	China:Guangzhou Med Univ, Dept Ophthalmol, Affiliated Hosp 2, Guangzhou, Guangdong,Peoples R China. Guangzhou Medical University	EXPERIMENTAL EYE RESEARCH	Human amniotic epithelial cell niche enhances the functional properties of human corneal endothelial cells via inhibiting P53-survivin-mitochondria axis
sham pakc	China:Kings Coll London, Inst Psychiat, MRC Social Genet & Dev Psychiat Res Ctr, London WC2R 2LS, England. Kings College LondonUniversity of London	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Commingling Analyses of Central Corneal Thickness and Adjusted Intraocular Pressure in an Older Australian Population
shan hua	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Prevention of exposure keratopathy in intensive care unit
shan li	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 2, Harbin 150086, Heilongjiang,Peoples R China. Harbin Medical University	OPHTHALMOLOGY	Prevalence of Glaucoma in a Rural Northern China Adult Population A Population-Based Survey in Kailu County, Inner Mongolia
shang xumin	China:Xiamen Univ, Xiamen Eye Ctr, Xiamen, Fujian,Peoples R China. Xiamen University	PLOS ONE	Meibomian Gland Dysfunction Determines the Severity of the Dry Eye Conditions in Visual Display Terminal Workers
shao chunyi	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Shanghai Peoples Hosp 9, Sch Med, Shanghai 200011,Peoples R China. Shanghai Jiao Tong University	OPHTHALMOLOGY	Surgical Management and Outcome of Tessier Number 10 Clefts
shao chunyi	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Shanghai Peoples Hosp 9, Sch Med, Shanghai 200011,Peoples R China. Shanghai Jiao Tong University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Dynamic Changes of Tear Fluid After Cosmetic Transcutaneous Lower Blepharoplasty Measured by Optical Coherence Tomography
shao dewang	China:Air Force Gen Hosp PLA, Dept Ophthalmol, Beijing 100142,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Using Laser Sight Astrapro Planner 2.2 Z software in corneal topography-guided laser in situ keratomileusis for myopia with asymmetric corneal shape
shao jun	China:Wuxi Peoples Hosp, Dept Ophthalmol, Jiangsu,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Effect of diclofenac sodium combined with nuclear rotation on the prevention of posterior capsule opacification: Two-year follow-up
shao lei	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing 100730,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Subfoveal Choroidal Thickness: The Beijing Eye Study
shao lei	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing 100730,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Subfoveal Choroidal Thickness in Diabetes and Diabetic Retinopathy
shao lei	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing 100730,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Visual Acuity and Subfoveal Choroidal Thickness: The Beijing Eye Study
shao lei	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing 100730,Peoples R China. Capital Medical University	PLOS ONE	Prevalence and Associations of Incomplete Posterior Vitreous Detachment in Adult Chinese: The Beijing Eye Study
shao liqin	China:Zhejiang Univ, Ctr Eye, Affiliated Hosp 2, Coll Med, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	Retinal measurements using time domain OCT imaging before and after myopic Lasik
shao yi	China:Nanchang Univ, Affiliated Hosp 1, Dept Ophthalmol, Nanchang 330006, Jiangxi,Peoples R China. Nanchang University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Evaluation of novel decellularizing corneal for cornea tissue engineering applications
shao yi	China:Nanchang Univ, Affiliated Hosp 1, Dept Ophthalmol, Nanchang 330006, Jiangxi,Peoples R China. Nanchang University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Novel sutureless transplantation for primary pterygium associated with cysts
shao yi	China:Nanchang Univ, Affiliated Hosp 1, Dept Ophthalmol, Nanchang 330006, Jiangxi,Peoples R China. Nanchang University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	The expression and distribution of alpha -Gal gene in various species ocular surface tissue
shao yi	China:Nanchang Univ, Affiliated Hosp 1, Dept Ophthalmol, Nanchang 330006, Jiangxi,Peoples R China. Nanchang University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Netrin-1 Simultaneously Suppresses Corneal Inflammation and Neovascularization
shao yi	China:Nanchang Univ, Affiliated Hosp 1, Dept Ophthalmol, Nanchang 330006, Jiangxi,Peoples R China. Nanchang University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Therapeutic efficacy of intracameral amphotericin B injection for 60 patients with keratomycosis
shao yi	China:Xiamen Univ, Inst Eye, Key Lab Fujian Prov Ophthalmol & Visual Sci Res, Xiamen 361005, Fujian,Peoples R China. Xiamen University	EXPERIMENTAL EYE RESEARCH	Modulation of the canonical Wnt pathway by Benzalkonium Chloride in corneal epithelium
shao yilei	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	-SCIENCE AND CLINICAL PRACTICE	Entire Thickness Profiles of the Epithelium and Contact Lens In Vivo Imaged With High-Speed and High-Resolution Optical Coherence Tomography
shao yilei	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	PLOS ONE	Phacoemulsification Induced Transient Swelling of Corneal Descemet's Endothelium Complex Imaged with Ultra-High Resolution Optical Coherence Tomography
shao yilei	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Whole Eye Axial Biometry During Accommodation Using Ultra-long Scan Depth Optical Coherence Tomography
shao yilei	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	-SCIENCE AND CLINICAL PRACTICE	Fully Automated Biometry of In Situ Intraocular Lenses Using Long Scan Depth Spectral-Domain Optical Coherence Tomography
shao yilei	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	-SCIENCE AND CLINICAL PRACTICE	Automatic Biometry of the Anterior Segment During Accommodation Imaged by Optical Coherence Tomography
shao yumei	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	BRITISH JOURNAL OF OPHTHALMOLOGY	Deep anterior lamellar keratoplasty using precut anterior lamellar cap for herpes simplex keratitis: a long-term follow-up study
shao yunliang	China:Shantou Univ, Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. Shantou University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Imaging inadvertent Descemet's membrane break secondary to cataract surgery
sharma abhishek	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	AMERICAN JOURNAL OF OPHTHALMOLOGY	Corneal hysteresis and axial length among Chinese secondary school children: The Xichang Pediatric Refractive Error Study (X-PRES) report no. 4
she yujing	China:Wenzhou Med Univ, Sch Ophthalmol & Optometty, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	EXPERIMENTAL EYE RESEARCH	Reactive oxygen species activated NLRP3 inflammasomes prime environment-induced murine dry eye
shen jian	China:Cent S Univ, Xiangya Hosp 3, Changsha 410078, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Keratorefractive surgery and glaucoma
shen jiaquan	China:Shandong Univ, Sch Med, Dept Ophthalmol, Jinan, Shandong,Peoples R China. Shandong University	MOLECULAR VISION	Protective effect of a JNK inhibitor against retinal ganglion cell loss induced by acute moderate ocular hypertension
shen li	China:Qingdao Univ, Dept Ophthalmol, Affiliated Hosp, Coll Med, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Application of sodium hyaluronate to the operation of suturing the corneal perforation
shen lijun	China:Wenzhou Med Coll, Hosp Eye, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Surgical management of silicone oil migrated into suprachoroidal space after vitrectomy
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	EYE	Association between corneal biomechanical properties and myopia in Chinese subjects
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	-SCIENCE AND CLINICAL PRACTICE	Automatic Segmentation of the Central Epithelium Imaged With Three Optical Coherence Tomography Devices
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	-SCIENCE AND CLINICAL PRACTICE	Upper and Lower Tear Menisci After Laser In Situ Keratomileusis
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	The Development of the Refractive Status and Ocular Growth in C57BL/6 Mice
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	The Role of Axial Resolution of Optical Coherence Tomography on the Measurement of Corneal and Epithelial Thicknesses
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Upper Punctal Occlusion versus Lower Punctal Occlusion in Dry Eye
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Vertical and Horizontal Thickness Profiles of the Corneal Epithelium and Bowman's Layer after Orthokeratology
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	-SCIENCE AND CLINICAL PRACTICE	Entire Thickness Profiles of the Epithelium and Contact Lens In Vivo Imaged With High-Speed and High-Resolution Optical Coherence Tomography
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Recovery of Corneal Hysteresis After Reduction of Intraocular Pressure in Chronic Primary Angle-Closure Glaucoma
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Topographic Thickness of Bowman's Layer Determined by Ultra-High Resolution Spectral Domain-Optical Coherence Tomography
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Ultrahigh-Resolution Measurement by Optical Coherence Tomography of Dynamic Tear Film Changes on Contact Lenses
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	OPTOMETRY AND VISION SCIENCE	Diurnal Variation of Ocular Hysteresis, Corneal Thickness, and Intraocular Pressure
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	VISION RESEARCH	Biometric measurement of the mouse eye using optical coherence tomography with focal plane advancement
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	VISION RESEARCH	Biomechanical properties of the cornea in high myopia
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	-SCIENCE AND CLINICAL PRACTICE	Agreement of Corneal Epithelial Profiles Produced by Automated Segmentation of SD-OCT Images Having Different Optical Resolutions
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	-SCIENCE AND CLINICAL PRACTICE	Corneal Reshaping and Wavefront Aberrations During Overnight Orthokeratology
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	-SCIENCE AND CLINICAL PRACTICE	Fully Automated Biometry of In Situ Intraocular Lenses Using Long Scan Depth Spectral-Domain Optical Coherence Tomography
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	-SCIENCE AND CLINICAL PRACTICE	Monitor Corneal Epithelial Healing Under Bandage Contact Lens Using Ultrahigh-Resolution Optical Coherence Tomography After Pterygium Surgery
shen m	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	-SCIENCE AND CLINICAL PRACTICE	Automatic Biometry of the Anterior Segment During Accommodation Imaged by Optical Coherence Tomography
shen meixiao	China:Univ Miami, Dept Ophthalmol, Bascom Palmer Eye Inst, Miller Sch Med, Miami, FL 33136 USA. University of Miami	CORNEA	Vertical and Horizontal Corneal Epithelial Thickness Profiles Determined by Ultrahigh Resolution Optical Coherence Tomography
shen minqian	China:Fudan Univ, Zhongshan Hosp, Dept Ophthalmol, Shanghai 200032,Peoples R China. Fudan University	OPHTHALMIC RESEARCH	The Effect of TC14012 on Alkali Burn-Induced Corneal Neovascularization in Mice
shen nianci	China:Fudan Univ, Huadong Hosp, Dept Ophthalmol, Shanghai 200040,Peoples R China. Fudan University	EXPERIMENTAL EYE RESEARCH	Photochemical activation increases the porcine corneal stiffness and resistance to collagenase digestion
shen peiyang	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Biometric measurements in highly myopic eyes
shen peiyang	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Comparison of anterior ocular biometry between optical low-coherence reflectometry and anterior segment optical coherence tomography in an adult Chinese population
shen qin	China:Shanghai Jiao Tong Univ, Sch Med, Dept Ophthalmol, Peoples Hosp 9, Shanghai 200011,Peoples R China. Shanghai Jiao Tong University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Dynamic Changes of Tear Fluid After Cosmetic Transcutaneous Lower Blepharoplasty Measured by Optical Coherence Tomography
shen ting	China:Zhejiang Prov Peoples Hosp, Dept Ophthalmol, Hangzhou 310014, Zhejiang,Peoples R China. 	CUTANEOUS AND OCULAR TOXICOLOGY	The toxic effect of different concentrations of povidone iodine on the rabbit's cornea
shen wei	China:Second Mil Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shanghai 200433,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effects of AMD3100 subconjunctival injection on alkali burn induced corneal neovascularization in mice
shen xi	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Ruijin Hosp, Affiliated Med Sch, Shanghai 200025,Peoples R China. Shanghai Jiao Tong University	CORNEA	The Comparison of the Effects of Latanoprost, Travoprost, and Bimatoprost on Central Corneal Thickness
shen xiaoli	China:Jinan Univ, Shenzhen Eye Hosp, Dept Ophthalmol, Shenzhen,Peoples R China. Jinan University	CORNEA	Surgical Resection and Amniotic Membrane Transplantation for Treatment of Refractory Giant Papillae in Vernal Keratoconjunctivitis
shen yang	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Myopia Key Lab,Hlth Minist, Shanghai 200433,Peoples R China. Fudan University	PLOS ONE	The Morphology of Corneal Cap and Its Relation to Refractive Outcomes in Femtosecond Laser Small Incision Lenticule Extraction (SMILE) with Anterior Segment Optical Coherence Tomography Observation
shen yang	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Myopia Key Lab,Hlth Minist, Shanghai 200433,Peoples R China. Fudan University	PLOS ONE	Comparison of Dry Eye and Corneal Sensitivity between Small Incision Lenticule Extraction and Femtosecond LASIK for Myopia
shen yang	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Myopia Key Lab,Hlth Minist, Shanghai 200433,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Mild Decentration Measured by a Scheimpflug Camera and Its Impact on Visual Quality Following SMILE in the Early Learning Curve
shen yang	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Myopia Key Lab,Hlth Minist, Shanghai 200433,Peoples R China. Fudan University	PLOS ONE	Changes in Corneal Deformation Parameters after Lenticule Creation and Extraction during Small Incision Lenticule Extraction (SMILE) Procedure
shen yang	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Myopia Key Lab,Hlth Minist, Shanghai 200433,Peoples R China. Fudan University	JOURNAL OF REFRACTIVE SURGERY	Comparison of Corneal Sensation Between Small Incision Lenticule Extraction (SMILE) and Femtosecond Laser-Assisted LASIK for Myopia
shen yang	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Myopia Key Lab,Hlth Minist, Shanghai 200433,Peoples R China. Fudan University	JOURNAL OF REFRACTIVE SURGERY	Comparison of Corneal Deformation Parameters After SMILE, LASEK, and Femtosecond Laser-Assisted LASIK
shen yang	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Myopia Key Lab,Hlth Minist, Shanghai 200433,Peoples R China. Fudan University	BMC OPHTHALMOLOGY	Enhancement of femtosecond lenticule extraction for visual symptomatic eye after myopia correction
shen yang	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Myopia Key Lab,Hlth Minist, Shanghai 200433,Peoples R China. Fudan University	JOURNAL OF REFRACTIVE SURGERY	Microdistortions in Bowman's Layer Following Femtosecond Laser Small Incision Lenticule Extraction Observed by Fourier-Domain OCT
shen ye	China:Zhejiang Univ, Coll Med, Affiliated Hosp 1, Dept Ophthalmol, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Rigid gas-permeable contact lens for visual rehabilitation in aphakia following trauma
shen ye	China:Zhejiang Univ, Coll Med, Affiliated Hosp 1, Dept Ophthalmol, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	OPHTHALMOLOGY	Ultrasound Biomicroscopy of Anterior Segment Accommodative Changes with Posterior Chamber Phakic Intraocular Lens in High Myopia
shen yeyu	China:Wenzhou Med Coll, Wenzhou,Peoples R China. Wenzhou Medical University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	On the compensation of horizontal coma aberrations in young human eyes
sheng xunlun	China:Ningxia Peoples Hosp, Ningxia Eye Hosp, Yinchuan 750011, Ningxia Hui Aut,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Prevalence and associated factors of corneal blindness in Ningxia in northwest China
sheng yaohua	China:Shanghai Jiao Tong Univ, Xinhua Hosp, Sch Med, Dept Ophthalmol, Shanghai 200092,Peoples R China. Shanghai Jiao Tong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Practical method to calculate post-LASIK corneal power: the Actual Ka+p method
shentu xingchao	China:Zhejiang Univ, Coll Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Chinese family with atypical granular corneal dystrophy type I caused by the typical R555W mutation in TGFBI
shentu xingchao	China:Zhejiang Univ, Coll Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	MOLECULAR VISION	A recurrent PAX6 mutation is associated with aniridia and congenital progressive cataract in a Chinese family
